organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	IL-1Ra	IL-1RA	IL1RN	3557	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	IL-1Ra	IL-1RA	IL6R	3570	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	IL-1ẞ	IL1	IL1A	3552	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	IL-1ẞ	IL1	IL1B	3553	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	IL-18	IL-18	IL18	3606	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	IL-1R2	IL1R2	IL1R2	7850	ncbigene_symbol	4	26	17
9606	Homo sapiens	Primates	IL-1RACP	IL-1RACP	IL1RAP	3556	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	MyD88	MYD88	MYD88	4615	ncbigene_symbol	4	26	17
9606	Homo sapiens	Primates	IRAK1	IRAK1	IRAK1	3654	ncbigene_symbol	4	26	17
9606	Homo sapiens	Primates	TRAF6	TRAF6	TRAF6	7189	ncbigene_symbol	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP1	834	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP2	835	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP4	837	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP5	838	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP6	839	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP8	841	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP9	842	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP10	843	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP12	100506742	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP14	23581	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP3	836	famplex_relations	4	26	17
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP7	840	famplex_relations	4	26	17
9606	Homo sapiens	Primates	IKKY	IKKG	IKBKG	8517	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	JNK	JNK	MAPK8	5599	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	JNK	JNK	MAPK9	5601	famplex_relations	4	26	17
9606	Homo sapiens	Primates	JNK	JNK	MAPK10	5602	famplex_relations	4	26	17
9606	Homo sapiens	Primates	ERK1/2P38	ERK1	MAPK3	5595	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	CRK	1398	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	MAPK14	1432	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	MAPK1	5594	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	AIMP2	7965	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	GRAP2	9402	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	AHSA1	10598	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	POLDIP2	26073	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P38	P38	MAPK11	5600	famplex_relations	4	26	17
9606	Homo sapiens	Primates	P38	P38	MAPK12	6300	famplex_relations	4	26	17
9606	Homo sapiens	Primates	P38	P38	MAPK13	5603	famplex_relations	4	26	17
9606	Homo sapiens	Primates	P65	P65	RELA	5970	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P65	P65	SYT1	6857	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P65	P65	GORASP1	64689	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P65	P65	WNK1	65125	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P50	P50	CD40	958	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P50	P50	ARHGEF7	8874	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P50	P50	ASCC1	51008	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	P50	P50	H3P40	115482723	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	DOD	DOD	PIN1	5300	ncbigene_synonym	4	26	17
9606	Homo sapiens	Primates	c-Jun	C-JUN	JUN	3725	ncbigene_synonym	4	26	17
