organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	HCC	HCC	HCC	619501	ncbigene_symbol	7	16	23
9606	Homo sapiens	Primates	HCC	HCC	HYCC1	84668	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT1	7471	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT2	7472	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT2B	7482	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT3	7473	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT3A	89780	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT4	54361	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT6	7475	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT7A	7476	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT7B	7477	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT8A	7478	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT8B	7479	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT9A	7483	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT9B	7484	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT10A	80326	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT10B	7480	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT11	7481	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT16	51384	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT5A	7474	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Wnt	WNT	WNT5B	81029	famplex_relations	7	16	23
9606	Homo sapiens	Primates	PreS	PRES	SLC26A5	375611	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	B-catenin	CTNNB1	CTNNB1	1499	ncbigene_symbol	7	16	23
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB2	7042	famplex_relations	7	16	23
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB3	7043	famplex_relations	7	16	23
9606	Homo sapiens	Primates	TGFBR	TGFBR	TGFBR1	7046	famplex_relations	7	16	23
9606	Homo sapiens	Primates	TGFBR	TGFBR	TGFBR2	7048	famplex_relations	7	16	23
9606	Homo sapiens	Primates	TGFBR	TGFBR	TGFBR3	7049	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD1	4086	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD4	4089	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD5	4090	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD6	4091	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD7	4092	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD9	4093	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD2	4087	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Smad	SMAD	SMAD3	4088	famplex_relations	7	16	23
9606	Homo sapiens	Primates	IL-10	IL-10	IL10	3586	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	Elk-1	ELK1	ELK1	2002	ncbigene_symbol	7	16	23
9606	Homo sapiens	Primates	Elk-1	ELK1	KCNH4	23415	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	Elk-1	ELK1	KCNH8	131096	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	HURP	HURP	DLGAP5	9787	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	c-fos	C-FOS	FOS	2353	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	CD8+	CD8	CD8A	925	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	CD8+	CD8	CD8B	926	famplex_relations	7	16	23
9606	Homo sapiens	Primates	Th1	TH1	NELFCD	51497	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	SRF	SRF	SRF	6722	ncbigene_symbol	7	16	23
9606	Homo sapiens	Primates	JNK	JNK	MAPK8	5599	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	JNK	JNK	MAPK9	5601	famplex_relations	7	16	23
9606	Homo sapiens	Primates	JNK	JNK	MAPK10	5602	famplex_relations	7	16	23
9606	Homo sapiens	Primates	C-Jun	C-JUN	JUN	3725	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	GSTP1	GSTP1	GSTP1	2950	ncbigene_symbol	7	16	23
9606	Homo sapiens	Primates	Nox-4	NOX4	NOX4	50507	ncbigene_symbol	7	16	23
9606	Homo sapiens	Primates	TNFaR	TNFAR	TNFRSF1A	7132	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	↑DNMT-3b	DNMT3B	DNMT3B	1789	ncbigene_symbol	7	16	23
9606	Homo sapiens	Primates	TNFa	TNFA	TNF	7124	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	IL-22	IL-22	IL22	50616	ncbigene_synonym	7	16	23
9606	Homo sapiens	Primates	IL-6	IL-6	IL6	3569	ncbigene_synonym	7	16	23
7955	Danio rerio	Vertebrates	HCC	HCC	hccsa.2	101882578	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	PreS	PRES	slc26a5	322846	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	B-catenin	CTNNB1	ctnnb1	30265	ncbigene_symbol	7	12	17
7955	Danio rerio	Vertebrates	IL-10	IL10	il10	553957	ncbigene_symbol	7	12	17
7955	Danio rerio	Vertebrates	HBX	HBX	hbae5	561790	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	Elk-1	ELK1	elk1	567895	ncbigene_symbol	7	12	17
7955	Danio rerio	Vertebrates	Survivin	SURVIVIN	birc5a	373110	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	c-fos	FOS	fosab	394198	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	SRF	SRF	srfa	30431	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	JNK	JNK	mapk8b	65236	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	C-Jun	C-JUN	jun	335916	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	GSTP1	GSTP1	gstp1.2	79381	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	Nox-4	NOX4	nox4	101886314	ncbigene_symbol	7	12	17
7955	Danio rerio	Vertebrates	↑DNMT-3b	DNMT3B	dnmt3bb.1	317744	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	↑DNMT-3b	DNMT3B	dnmt3ba	321084	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	TNFa	TNFA	tnfa	405785	ncbigene_symbol	7	12	17
7955	Danio rerio	Vertebrates	TNFa	TNFA	tnfb	554167	ncbigene_synonym	7	12	17
7955	Danio rerio	Vertebrates	IL-22	IL22	il22	553964	ncbigene_symbol	7	12	17
7955	Danio rerio	Vertebrates	IL-6	IL6	il6	100885851	ncbigene_symbol	7	12	17
