word	mesh	match	name	chebi
DMPP	NA	DMPP	3,4-dimethyl-1H-pyrazole phosphate	chebi:148435
HMG-CoA	NA	HMG-CoA	3'-phosphoadenosine 5'-{3-[(3R)-4-({3-[(2-{[(3S)-4-carboxy-3-hydroxy-3-methylbutanoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-3-hydroxy-2,2-dimethyl-4-oxobutyl] dihydrogen diphosphate}	chebi:15467
Acetyl-CoA	NA	acetyl-CoA	3'-phosphonatoadenosine 5'-(3-{(3R)-4-[(3-{[2-(acetylsulfanyl)ethyl]amino}-3-oxopropyl)amino]-3-hydroxy-2,2-dimethyl-4-oxobutyl} diphosphate)	chebi:57288
FPP	NA	FPP	L-phenylalanyl-L-prolyl-L-proline	chebi:73644
Phytofluene	NA	phytofluene	15-cis-7,8,11,12,7',8'-hexahydro-psi,psi-carotene	chebi:35165
Phytoene	NA	Phytoene	all-trans-phytoene	chebi:8191
lycopene	NA	LYCOPENE	all-trans-lycopene	chebi:15948
Carotene	NA	carotene	carotenes	chebi:23042
3,4-Dehydrolycopene	NA	3,4-dehydrolycopene	all-trans-3,4-didehydrolycopene	chebi:62474
Torulene	NA	torulene	(3'E)-3',4'-didehydro-beta,psi-carotene	chebi:9638
Carotenoid	NA	carotenoid	carotenoid	chebi:23044
