organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	CPE	CPE	CPE	1363	ncbigene_symbol	4	20	18
9606	Homo sapiens	Primates	ACE2	ACE2	ACE2	59272	ncbigene_symbol	4	20	18
9606	Homo sapiens	Primates	AngII	ANG2	ANGPT2	285	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	AngII	ANG2	VPS51	738	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	Mas	MAS	MAS1	4142	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	AKT	AKT	AKT1	207	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	AKT	AKT	AKT2	208	famplex_relations	4	20	18
9606	Homo sapiens	Primates	AKT	AKT	AKT3	10000	famplex_relations	4	20	18
9606	Homo sapiens	Primates	eNOS	ENOS	NOS3	4846	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	eNOS	ENOS	ENO4	387712	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	Nephrin	NEPHRIN	NPHS1	4868	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	AT1R	AT1R	AGTR1	185	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	Mas1	MAS1	PMPCB	9512	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	L-Arg	LARG	ARHGEF12	23365	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	+GFR	GFR	RAPGEF5	9771	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	SBP	SBP	SHBG	6462	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	SBP	SBP	CCHCR1	54535	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	DBP	DBP	DBP	1628	ncbigene_symbol	4	20	18
9606	Homo sapiens	Primates	DBP	DBP	GC	2638	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	DBP	DBP	HSD17B4	3295	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	MAP	MAP	SGSM3	27352	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	TMAP	TMAP	CKAP2	26586	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	SAH	SAH	ACSM3	6296	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	.PC	PC	PC	5091	ncbigene_symbol	4	20	18
9606	Homo sapiens	Primates	INOS	INOS	NOS2	4843	ncbigene_synonym	4	20	18
9606	Homo sapiens	Primates	INOS	INOS	ISYNA1	51477	ncbigene_synonym	4	20	18
