organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	Ddx20	DDX20	DDX20	11218	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	Gemin4	GEMIN4	GEMIN4	50628	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	Gemin2	GEMIN2	GEMIN2	8487	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	SMN	SMN	STMN1	3925	ncbigene_synonym	9	4	11
9606	Homo sapiens	Primates	SMN	SMN	SMN1	6606	ncbigene_synonym	9	4	11
9606	Homo sapiens	Primates	SMN	SMN	SNRPN	6638	ncbigene_synonym	9	4	11
9606	Homo sapiens	Primates	Gemin8	GEMIN8	GEMIN8	54960	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	Gemin6	GEMIN6	GEMIN6	79833	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	Gemin7	GEMIN7	GEMIN7	79760	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	Gemin5)	GEMIN5	GEMIN5	25929	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	Mdm2	MDM2	MDM2	4193	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	Olig2	OLIG2	OLIG2	10215	ncbigene_symbol	9	4	11
9606	Homo sapiens	Primates	p53	P53	TP53	7157	ncbigene_synonym	9	4	11
9606	Homo sapiens	Primates	p53	P53	TP63	8626	famplex_relations	9	4	11
9606	Homo sapiens	Primates	p53	P53	TP73	7161	famplex_relations	9	4	11
7955	Danio rerio	Vertebrates	Ddx20	DDX20	ddx20	556273	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	Gemin4	GEMIN4	gemin4	324754	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	Gemin2	GEMIN2	gemin2	550271	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	SMN	SMN	smn1	30432	ncbigene_synonym	9	2	11
7955	Danio rerio	Vertebrates	Gemin8	GEMIN8	gemin8	100000842	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	Gemin6	GEMIN6	gemin6	100002528	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	Gemin7	GEMIN7	gemin7	798703	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	Gemin5)	GEMIN5	gemin5	799538	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	Mdm2	MDM2	mdm2	30637	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	Olig2	OLIG2	olig2	325288	ncbigene_symbol	9	2	11
7955	Danio rerio	Vertebrates	p53	P53	tp53	30590	ncbigene_synonym	9	2	11
