organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	GRO-a	GROA	CXCL1	2919	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	FSHB	FSHB	FSHB	2488	ncbigene_symbol	5	14	16
9606	Homo sapiens	Primates	CD8a	CD8A	CD8A	925	ncbigene_symbol	5	14	16
9606	Homo sapiens	Primates	ScFv	SCFV	SCFV	652070	ncbigene_symbol	5	14	16
9606	Homo sapiens	Primates	4-1BB	4-1BB	TNFRSF9	3604	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	Siglec-7	SIGLEC-7	SIGLEC7	27036	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	CD3z	CD3Z	CD247	919	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	CD3	CD3	CD3D	915	famplex_relations	5	14	16
9606	Homo sapiens	Primates	CD3	CD3	CD3E	916	famplex_relations	5	14	16
9606	Homo sapiens	Primates	CD3	CD3	CD3G	917	famplex_relations	5	14	16
9606	Homo sapiens	Primates	HK2	HK2	HK2	3099	ncbigene_symbol	5	14	16
9606	Homo sapiens	Primates	HK2	HK2	KCNA5	3741	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	HK2	HK2	KIF2A	3796	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	HK2	HK2	KLK2	3817	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	HK2	HK2	HOOK2	29911	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	Dicer	DICER	DICER1	23405	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	RISC	RISC	SCPEP1	59342	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	IL-6	IL-6	IL6	3569	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	MIPla	MIP1A	CCL3	6348	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	CD28	CD28	CD28	940	ncbigene_symbol	5	14	16
9606	Homo sapiens	Primates	IL-2	IL-2	IL2	3558	ncbigene_synonym	5	14	16
9606	Homo sapiens	Primates	INFa	INFA	IFNA17	3451	ncbigene_synonym	5	14	16
7955	Danio rerio	Vertebrates	FSHB	FSHB	fshb	402919	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	CD8a	CD8A	cd8a	677754	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	CD3	CD3	ighv1-2	378754	ncbigene_synonym	5	1	6
7955	Danio rerio	Vertebrates	HK2	HK2	hk2	406339	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	IL-6	IL6	il6	100885851	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	CD28	CD28	cd28	101886406	ncbigene_symbol	5	1	6
