word	mesh	match	name	chebi
STAM	NA	Stam	N-(3,4-dichlorophenyl)propanamide	chebi:34936
Phospholipid	NA	Phospholipid	a phospholipid derivative	chebi:16247
HDL	NA	HDL	NA	chebi:39025
LDL	NA	LDL	NA	chebi:39026
DNA	NA	DNA	deoxyribonucleic acids	chebi:16991
LDL	NA	LDL	NA	chebi:39026
Cholesterol ester	NA	Cholesterol ester	a cholesterol ester	chebi:17002
Nucleus	NA	nucleus	nucleus	chebi:33252
ATP	NA	ATP	ATP	chebi:30616
LPS	NA	LPS	NA	chebi:89981
LPS	NA	LPS	NA	chebi:89981
MEK	NA	MEK	butan-2-one	chebi:28398
