word	mesh	match	name	chebi
Ca2+	NA	Ca2+	Ca(2+)	chebi:29108
Ca2+	NA	Ca2+	Ca(2+)	chebi:29108
Glutamate	NA	Glutamate	(2S)-2-aminopentanedioic acid	chebi:16015
Calcium	NA	calcium	Ca	chebi:22984
NMDA	NA	NMDA	2-(2-chlorophenyl)-2-(methylamino)cyclohexanone	chebi:6121
Ca2+	NA	Ca2+	Ca(2+)	chebi:29108
Ca2+	NA	Ca2+	Ca(2+)	chebi:29108
Nucleus	NA	nucleus	nucleus	chebi:33252
GTP	NA	GTP	GTP	chebi:37565
Dopamine	NA	dopamine	dopamine	chebi:59905
Dopamine	NA	dopamine	dopamine	chebi:59905
DOPAMINE	NA	dopamine	dopamine	chebi:59905
CAMP	NA	cAMP	adenosine 3',5'-(hydrogen phosphate)	chebi:17489
CAMP	NA	cAMP	adenosine 3',5'-(hydrogen phosphate)	chebi:17489
ATP	NA	ATP	ATP	chebi:30616
Ca2+	NA	Ca2+	Ca(2+)	chebi:29108
Ca2+	NA	Ca2+	Ca(2+)	chebi:29108
SERCA	NA	SerCA	L-serocholate	chebi:229711
Ca2+	NA	Ca2+	Ca(2+)	chebi:29108
potassium	NA	potassium	potassium	chebi:26216
molecule	NA	molecule	NA	chebi:25367
