organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	HB-EGF	HBEGF	HBEGF	1839	ncbigene_symbol	7	21	27
9606	Homo sapiens	Primates	EGFR.	EGFR	EGFR	1956	ncbigene_symbol	7	21	27
9606	Homo sapiens	Primates	IGFIR	IGFIR	IGF1R	3480	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	HER2	HER2	ERBB2	2064	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	IGF	IGF	IGF1	3479	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	ER-a	ERA	ESR1	2099	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	ER-a	ERA	ERAL1	26284	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY1	107	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY2	108	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY3	109	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY4	196883	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY5	111	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY6	112	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY7	113	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY8	114	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY9	115	famplex_relations	7	21	27
9606	Homo sapiens	Primates	AC	ADCY	ADCY10	55811	famplex_relations	7	21	27
9606	Homo sapiens	Primates	API/SPIoverexpression	API	SERPINF2	5345	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	PKA	PKA	PRKAR1A	5573	famplex_relations	7	21	27
9606	Homo sapiens	Primates	PKA	PKA	PRKAR1B	5575	famplex_relations	7	21	27
9606	Homo sapiens	Primates	PKA	PKA	PRKAR2A	5576	famplex_relations	7	21	27
9606	Homo sapiens	Primates	PKA	PKA	PRKAR2B	5577	famplex_relations	7	21	27
9606	Homo sapiens	Primates	PKA	PKA	PRKACA	5566	famplex_relations	7	21	27
9606	Homo sapiens	Primates	PKA	PKA	PRKACB	5567	famplex_relations	7	21	27
9606	Homo sapiens	Primates	PKA	PKA	PRKACG	5568	famplex_relations	7	21	27
9606	Homo sapiens	Primates	JUN	JUN	JUN	3725	ncbigene_symbol	7	21	27
9606	Homo sapiens	Primates	JUN	JUN	JUNB	3726	famplex_relations	7	21	27
9606	Homo sapiens	Primates	JUN	JUN	JUND	3727	famplex_relations	7	21	27
9606	Homo sapiens	Primates	She	SHE	SHE	126669	ncbigene_symbol	7	21	27
9606	Homo sapiens	Primates	Grb2	GRB2	GRB2	2885	ncbigene_symbol	7	21	27
9606	Homo sapiens	Primates	sos	SOS	XYLT2	64132	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	sos	SOS	SOS1	6654	famplex_relations	7	21	27
9606	Homo sapiens	Primates	sos	SOS	SOS2	6655	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Ras	RAS	KRAS	3845	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Ras	RAS	HRAS	3265	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Ras	RAS	NRAS	4893	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Raf	RAF	ZHX2	22882	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	Raf	RAF	ARAF	369	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Raf	RAF	BRAF	673	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Raf	RAF	RAF1	5894	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MEK	MEK	MAP2K7	5609	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	MEK	MEK	MAP2K1	5604	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MEK	MEK	MAP2K2	5605	famplex_relations	7	21	27
9606	Homo sapiens	Primates	ERK1	ERK1	MAPK3	5595	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	ERK1/2	ERK2	MAPK1	5594	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	FOS	FOS	FOS	2353	ncbigene_symbol	7	21	27
9606	Homo sapiens	Primates	FOS	FOS	FOSB	2354	famplex_relations	7	21	27
9606	Homo sapiens	Primates	FOS	FOS	FOSL1	8061	famplex_relations	7	21	27
9606	Homo sapiens	Primates	FOS	FOS	FOSL2	2355	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK11	5600	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK12	6300	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK13	5603	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK14	1432	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK8	5599	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK9	5601	famplex_relations	7	21	27
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK10	5602	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Erk	ERK	EPHB2	2048	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	FAK	FAK	PTK2	5747	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	GPR30	GPR30	GPER1	2852	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	Akt	AKT	AKT1	207	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	Akt	AKT	AKT2	208	famplex_relations	7	21	27
9606	Homo sapiens	Primates	Akt	AKT	AKT3	10000	famplex_relations	7	21	27
9606	Homo sapiens	Primates	mTOR	MTOR	MTOR	2475	ncbigene_symbol	7	21	27
9606	Homo sapiens	Primates	S6K	S6K	RPS6KB1	6198	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	p38	P38	CRK	1398	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	p38	P38	AIMP2	7965	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	p38	P38	GRAP2	9402	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	p38	P38	AHSA1	10598	ncbigene_synonym	7	21	27
9606	Homo sapiens	Primates	p38	P38	POLDIP2	26073	ncbigene_synonym	7	21	27
