organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	CD4	CD4	CD4	920	ncbigene_symbol	4	18	17
9606	Homo sapiens	Primates	CD25+	CD25	IL2RA	3559	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	CD25+	CD25	ISG20	3669	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	IDO!	IDO	IDO1	3620	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	GRAIL	GRAIL	RNF128	79589	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	itch	ITCH	ITCH	83737	ncbigene_symbol	4	18	17
9606	Homo sapiens	Primates	foxP3	FOXP3	FOXP3	50943	ncbigene_symbol	4	18	17
9606	Homo sapiens	Primates	cbl-b	CBL-B	CBLB	868	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	IL-2	IL-2	IL2	3558	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB2	7042	famplex_relations	4	18	17
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB3	7043	famplex_relations	4	18	17
9606	Homo sapiens	Primates	Trl	TR1	TNFRSF11B	4982	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	Trl	TR1	TXNRD1	7296	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	Trl	TR1	TMEFF1	8577	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	Trl	TR1	TAS1R1	80835	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	Trl	TR1	MSANTD3-TMEFF1	100526694	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	Trl	TRI	TRI-AAT9-1	7202	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	CD8	CD8	CD8A	925	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	CD8	CD8	CD8B	926	famplex_relations	4	18	17
9606	Homo sapiens	Primates	CD28-	CD28	CD28	940	ncbigene_symbol	4	18	17
9606	Homo sapiens	Primates	ILT3,4	ILT3	LILRB4	11006	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	ILT3,4	ILT4	LILRB2	10288	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	ROG	ROG	ZBTB32	27033	ncbigene_synonym	4	18	17
9606	Homo sapiens	Primates	IL-10	IL-10	IL10	3586	ncbigene_synonym	4	18	17
