organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	ARF	ARF	CDKN2A	1029	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	EP300	EP300	EP300	2033	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	BUB1	BUB1	BUB1	699	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	TGFB1	TGFB1	TGFB1	7040	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	MDM2	MDM2	MDM2	4193	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	ATR	ATR	ATR	545	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	ATR	ATR	ANTXR1	84168	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	ATR	ATR	MMAB	326625	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	ATR	ATR	SERPINA2	390502	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	BUB3	BUB3	BUB3	9184	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	GSK3B	GSK3B	GSK3B	2932	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	ATM	ATM	ATM	472	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	MPEG1	MPEG1	MPEG1	219972	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	PTTG3	PTTG3	PTTG3P	26255	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	PTTG2	PTTG2	PTTG2	10744	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	PTTG1	PTTG1	PTTG1	9232	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	SCF	SCF	KITLG	4254	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	MADH3	MADH3	SMAD3	4088	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	SKP2	SKP2	SKP2	6502	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	SKP2	SKP2	UXT	8409	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	RB1	RB1	RB1	5925	ncbigene_symbol	40	59	66
9606	Homo sapiens	Primates	RB1	RB1	RBM45	129831	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	MADH4	MADH4	SMAD4	4089	ncbigene_synonym	40	59	66
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK1	5594	famplex_relations	40	59	66
