organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
10090	Mus musculus	Rodents	APM	APM	Anpep	16790	ncbigene_synonym	4	7	10
10090	Mus musculus	Rodents	ADP	ADP	Wdtc1	230796	ncbigene_synonym	4	7	10
10090	Mus musculus	Rodents	ADP	ADP	Mdga2	320772	ncbigene_synonym	4	7	10
10090	Mus musculus	Rodents	KIF3B	KIF3B	Kif3b	16569	ncbigene_symbol	4	7	10
10090	Mus musculus	Rodents	Megalin	MEGALIN	Lrp2	14725	ncbigene_synonym	4	7	10
10090	Mus musculus	Rodents	KIF3A	KIF3A	Kif3a	16568	ncbigene_symbol	4	7	10
10090	Mus musculus	Rodents	КАРЗ	AP	ap	11763	ncbigene_symbol	4	7	10
10090	Mus musculus	Rodents	Nedd4-2,	NEDD4-2	Nedd4l	83814	ncbigene_synonym	4	7	10
10090	Mus musculus	Rodents	WWP2	WWP2	Wwp2	66894	ncbigene_symbol	4	7	10
10090	Mus musculus	Rodents	CLC-5	CLC-5	Clcn5	12728	ncbigene_synonym	4	7	10
10090	Mus musculus	Rodents	CLC-4	CLC-4	Clcn4	12727	ncbigene_synonym	4	7	10
9606	Homo sapiens	Primates	APM	APM	ANPEP	290	ncbigene_synonym	3	7	12
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	3	7	12
9606	Homo sapiens	Primates	ADP	ADP	WDTC1	23038	ncbigene_synonym	3	7	12
9606	Homo sapiens	Primates	KIF3B	KIF3B	KIF3B	9371	ncbigene_symbol	3	7	12
9606	Homo sapiens	Primates	KIF3A	KIF3A	KIF3A	11127	ncbigene_symbol	3	7	12
9606	Homo sapiens	Primates	Clathrin	CLATHRIN	CLTA	1211	famplex_relations	3	7	12
9606	Homo sapiens	Primates	Clathrin	CLATHRIN	CLTB	1212	famplex_relations	3	7	12
9606	Homo sapiens	Primates	Clathrin	CLATHRIN	CLTC	1213	famplex_relations	3	7	12
9606	Homo sapiens	Primates	Nedd4-2,	NEDD4-2	NEDD4L	23327	ncbigene_synonym	3	7	12
9606	Homo sapiens	Primates	WWP2	WWP2	WWP2	11060	ncbigene_symbol	3	7	12
9606	Homo sapiens	Primates	CLC-5	CLC-5	CLCN5	1184	ncbigene_synonym	3	7	12
9606	Homo sapiens	Primates	CLC-4	CLC-4	CLCN4	1183	ncbigene_synonym	3	7	12
9606	Homo sapiens	Primates	actin	ACTIN	ACTA1	58	famplex_relations	3	7	12
9606	Homo sapiens	Primates	actin	ACTIN	ACTA2	59	famplex_relations	3	7	12
9606	Homo sapiens	Primates	actin	ACTIN	ACTB	60	famplex_relations	3	7	12
9606	Homo sapiens	Primates	actin	ACTIN	ACTC1	70	famplex_relations	3	7	12
9606	Homo sapiens	Primates	actin	ACTIN	ACTG1	71	famplex_relations	3	7	12
9606	Homo sapiens	Primates	actin	ACTIN	ACTG2	72	famplex_relations	3	7	12
9606	Homo sapiens	Primates	Cofilin	COFILIN	CFL1	1072	ncbigene_synonym	3	7	12
9606	Homo sapiens	Primates	Cofilin	COFILIN	CFL2	1073	famplex_relations	3	7	12
9606	Homo sapiens	Primates	Cofilin	COFILIN	DSTN	11034	famplex_relations	3	7	12
10116	Rattus norvegicus	Rodents	APM	APM	Anpep	81641	ncbigene_synonym	3	4	7
10116	Rattus norvegicus	Rodents	ADP	ADP	Svs4	24802	ncbigene_synonym	3	4	7
10116	Rattus norvegicus	Rodents	KIF3B	KIF3B	Kif3b	296284	ncbigene_symbol	3	4	7
10116	Rattus norvegicus	Rodents	KIF3A	KIF3A	Kif3a	84392	ncbigene_symbol	3	4	7
10116	Rattus norvegicus	Rodents	Nedd4-2,	NEDD4-2	Nedd4l	291553	ncbigene_synonym	3	4	7
10116	Rattus norvegicus	Rodents	WWP2	WWP2	Wwp2	291999	ncbigene_symbol	3	4	7
10116	Rattus norvegicus	Rodents	CLC-5	CLC5	Clcn5	25749	ncbigene_synonym	3	4	7
9615	Canis lupus familiaris	Mammals	KIF3B	KIF3B	KIF3B	485830	ncbigene_symbol	3	NA	3
9615	Canis lupus familiaris	Mammals	KIF3A	KIF3A	KIF3A	474675	ncbigene_symbol	3	NA	3
9615	Canis lupus familiaris	Mammals	WWP2	WWP2	WWP2	479672	ncbigene_symbol	3	NA	3
9986	Oryctolagus cuniculus	Mammals	KIF3B	KIF3B	KIF3B	100342187	ncbigene_symbol	3	NA	3
