organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	IGF-IR	IGFIR	IGF1R	3480	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R4	30849	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R5	23533	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R6	146850	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R1	5295	famplex_relations	3	10
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R2	5296	famplex_relations	3	10
9606	Homo sapiens	Primates	(TGF-B	TGFB	TGFB1	7040	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	(TGF-B	TGFB	TGFB1	7040	famplex_relations	3	10
9606	Homo sapiens	Primates	(TGF-B	TGFB	TGFB2	7042	famplex_relations	3	10
9606	Homo sapiens	Primates	(TGF-B	TGFB	TGFB3	7043	famplex_relations	3	10
9606	Homo sapiens	Primates	Akt	AKT	AKT1	207	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	Akt	AKT	AKT1	207	famplex_relations	3	10
9606	Homo sapiens	Primates	Akt	AKT	AKT2	208	famplex_relations	3	10
9606	Homo sapiens	Primates	Akt	AKT	AKT3	10000	famplex_relations	3	10
9606	Homo sapiens	Primates	IGF-II	IGF-II	IGF2	3481	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	p300	P300	EP300	2033	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	MyoD	MYOD	MYOD1	4654	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	IGF-	IGF	IGF1	3479	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	IRS1/2	IRS2	IRS2	8660	ncbigene_symbol	3	10
9606	Homo sapiens	Primates	IRS1/2	IRS2	IRS2	8660	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	IRS1/2	IRS1	IRS1	3667	ncbigene_symbol	3	10
9606	Homo sapiens	Primates	IRS1	IRS1	IRS1	3667	ncbigene_symbol	3	10
