organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Mid1	MID1	MID1	855425	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cch1	CCH1	CCH1	853131	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cam1	CAM1	CAM1	856059	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Fpr1	FPR1	FPR1	855587	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rcn1	RCN1	RCN1	853698	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cnb1	CNB1	CNB1	853644	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cbp1	CBP1	CBP1	853221	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cna1	CNA1	CNA1	851153	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cnal	CNA1	CNA1	851153	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Hsp90	HSP90	HSC82	855224	ncbigene_synonym	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Hsp90	HSP90	HSP82	855836	ncbigene_synonym	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cyp1	CYP1	HAP1	850958	ncbigene_synonym	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cyp1	CYP1	CPR1	851733	ncbigene_synonym	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cpal	CPA1	CPA1	854479	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cpal/2	CPA2	CPA2	853573	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Cpal/2	CPA1	CPA1	854479	ncbigene_symbol	13	13
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Crz1	CRZ1	CRZ1	855704	ncbigene_symbol	13	13
9606	Homo sapiens	Primates	Mid1	MID1	MID1	4281	ncbigene_symbol	8	13
9606	Homo sapiens	Primates	Mid1	MID1	MPG	4350	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cam1	CAM1	CALM2	805	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cam1	CAM1	CALM3	808	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Fpr1	FPR1	FPR1	2357	ncbigene_symbol	8	13
9606	Homo sapiens	Primates	Rcn1	RCN1	RCN1	5954	ncbigene_symbol	8	13
9606	Homo sapiens	Primates	Rcn1	RCN1	RCAN1	1827	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cnb1	CNB1	PPP3R1	5534	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cbp1	CBP1	SERPINH1	871	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cna1	CNA1	CNA1	1255	ncbigene_symbol	8	13
9606	Homo sapiens	Primates	Cna1	CNA1	PPP3CA	5530	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cnal	CNA1	CNA1	1255	ncbigene_symbol	8	13
9606	Homo sapiens	Primates	Cnal	CNA1	PPP3CA	5530	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	CsA	CSA	ERCC8	1161	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	CsA	CSA	CSH1	1442	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	CsA	CSA	HSPA9	3313	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Hsp90	HSP90	HSP90AA1	3320	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Hsp90	HSP90	HSP90B1	7184	famplex_relations	8	13
9606	Homo sapiens	Primates	Hsp90	HSP90	TRAP1	10131	famplex_relations	8	13
9606	Homo sapiens	Primates	Hsp90	HSP90	HSP90AB1	3326	famplex_relations	8	13
9606	Homo sapiens	Primates	Hsp90	HSP90	HSP90AA1	3320	famplex_relations	8	13
9606	Homo sapiens	Primates	CypA	CYPA	PPIA	5478	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cyp1	CYP1	CYP1A1	1543	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cyp1	CYP1	CYP27B1	1594	ncbigene_synonym	8	13
9606	Homo sapiens	Primates	Cyp1	CYP1	CYP1A1	1543	famplex_relations	8	13
9606	Homo sapiens	Primates	Cyp1	CYP1	CYP1A2	1544	famplex_relations	8	13
9606	Homo sapiens	Primates	Cyp1	CYP1	CYP1B1	1545	famplex_relations	8	13
9606	Homo sapiens	Primates	Cpal	CPA1	CPA1	1357	ncbigene_symbol	8	13
9606	Homo sapiens	Primates	Cpal/2	CPA2	CPA2	1358	ncbigene_symbol	8	13
9606	Homo sapiens	Primates	Cpal/2	CPA1	CPA1	1357	ncbigene_symbol	8	13
