organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	EGFR	EGFR	Egfr	37455	ncbigene_symbol	5	6	7
7227	Drosophila melanogaster	Invertebrates	Ras	RAS	ras	43873	ncbigene_symbol	5	6	7
7227	Drosophila melanogaster	Invertebrates	Ras	RAS	Ras64B	38494	ncbigene_synonym	5	6	7
7227	Drosophila melanogaster	Invertebrates	Ras	RAS	Ras85D	41140	ncbigene_synonym	5	6	7
7227	Drosophila melanogaster	Invertebrates	MAPK	MAPK	MKP-4	32963	ncbigene_synonym	5	6	7
7227	Drosophila melanogaster	Invertebrates	MAPK	MAPK	p38b	34780	ncbigene_synonym	5	6	7
7227	Drosophila melanogaster	Invertebrates	MAPK	MAPK	rl	3354888	ncbigene_synonym	5	6	7
7227	Drosophila melanogaster	Invertebrates	Phyl	PHYL	phyl	36606	ncbigene_symbol	5	6	7
7227	Drosophila melanogaster	Invertebrates	-Sina	SINA	sina	39884	ncbigene_symbol	5	6	7
7227	Drosophila melanogaster	Invertebrates	Ebi	EBI	ebi	33212	ncbigene_symbol	5	6	7
7227	Drosophila melanogaster	Invertebrates	Ttk88	TTK88	ttk	48317	ncbigene_synonym	5	6	7
