word	source	identifier
ribulose-1,5-bi-P Calvin	MESH	C100182
ribulose-5-P	MESH	C100182
alanine	MESH	D000409
arabinose	MESH	D001089
arginine	MESH	D001120
Asparagine	MESH	D001216
asparagine	MESH	D001216
aspartate	MESH	D001224
cysteine	MESH	D003545
dihydroxyacetone	MESH	D004098
fatty acids	MESH	D005227
fructose	MESH	D005632
fructose-6-P	MESH	D005632
GABA	MESH	D005680
galactose	MESH	D005690
glucose	MESH	D005947
glutamine	MESH	D005973
glyceraldehyde-3-P	MESH	D005985
glycerol	MESH	D005990
glycerol-3-P	MESH	D005990
glycine	MESH	D005998
glycolate	MESH	D006016
isocitrate	MESH	D007523
Isoleucine	MESH	D007532
leucine	MESH	D007930
Lysine	MESH	D008239
maltose	MESH	D008320
mannitol	MESH	D008353
mannose	MESH	D008358
methionine	MESH	D008715
oxaloacetate	MESH	D010071
tyrosine tryptophane phenylalanine	MESH	D010649
phosphate	MESH	D010710
proline	MESH	D011392
putrescine	MESH	D011700
pyruvate	MESH	D011773
serine	MESH	D012694
Succinate	MESH	D013386
succinate	MESH	D013386
sucrose	MESH	D013395
Threonine	MESH	D013912
threonine	MESH	D013912
trehalose	MESH	D014199
tyrosine tryptophane phenylalanine	MESH	D014443
Urea	MESH	D014508
urea	MESH	D014508
valine	MESH	D014633
xylose	MESH	D014994
glutamate	MESH	D018698
lactate	MESH	D019344
succinate lactate	MESH	D019344
hydroxybenzoate	MESH	D062385
