organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad51	RAD51	RAD51	856831	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	RPA,Rad51	RAD51	RAD51	856831	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad52,Rad55/57	RAD52	RAD52	854976	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad52,	RAD52	RAD52	854976	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad55	RAD55	RAD55	851648	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Srs2	SRS2	SRS2	853353	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad52	RAD52	RAD52	854976	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad59	RAD59	RAD59	851500	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad54	RAD54	RAD54	852713	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad54/Rdh54	RAD54	RAD54	852713	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rad54/Rdh54	RDH54	RDH54	852365	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Rdh54	RDH54	RDH54	852365	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Mph1	MPH1	MPH1	854818	ncbigene_symbol	14	9
559292	Saccharomyces cerevisiae S288C	Plants and Fungi	Sgs1	SGS1	SGS1	855228	ncbigene_symbol	14	9
9606	Homo sapiens	Primates	Rad51	RAD51	RAD51	5888	ncbigene_symbol	6	9
9606	Homo sapiens	Primates	RPA,Rad51	RPA	RPA1	6117	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	RPA,Rad51	RPA	RPA1	6117	famplex_relations	6	9
9606	Homo sapiens	Primates	RPA,Rad51	RPA	RPA2	6118	famplex_relations	6	9
9606	Homo sapiens	Primates	RPA,Rad51	RPA	RPA3	6119	famplex_relations	6	9
9606	Homo sapiens	Primates	RPA,Rad51	RAD51	RAD51	5888	ncbigene_symbol	6	9
9606	Homo sapiens	Primates	RPA,	RPA	RPA1	6117	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	RPA,	RPA	RPA1	6117	famplex_relations	6	9
9606	Homo sapiens	Primates	RPA,	RPA	RPA2	6118	famplex_relations	6	9
9606	Homo sapiens	Primates	RPA,	RPA	RPA3	6119	famplex_relations	6	9
9606	Homo sapiens	Primates	Rad52,Rad55/57	RAD52	RAD52	5893	ncbigene_symbol	6	9
9606	Homo sapiens	Primates	Rad52,	RAD52	RAD52	5893	ncbigene_symbol	6	9
9606	Homo sapiens	Primates	Srs2	SRS2	SRS2	118027463	ncbigene_symbol	6	9
9606	Homo sapiens	Primates	Rad52	RAD52	RAD52	5893	ncbigene_symbol	6	9
9606	Homo sapiens	Primates	Rad54	RAD54	ATRX	546	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	Rad54/Rdh54	RAD54	ATRX	546	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	Rad54/Rdh54	RDH54	RAD54B	25788	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	Rdh54	RDH54	RAD54B	25788	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	Mph1	MPH1	TTK	7272	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	SSA	SSA	CALR	811	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	SSA	SSA	TRIM21	6737	ncbigene_synonym	6	9
9606	Homo sapiens	Primates	BIR	BIR	KCNJ11	3767	ncbigene_synonym	6	9
