organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	Gcl	GCL	gcl	35864	ncbigene_symbol	4	2	4
7227	Drosophila melanogaster	Invertebrates	Gcl	GCL	Gclc	53581	ncbigene_synonym	4	2	4
7227	Drosophila melanogaster	Invertebrates	Gcl	GC1	GC1	41448	ncbigene_symbol	4	2	4
7227	Drosophila melanogaster	Invertebrates	mass	MAS	mas	38499	ncbigene_symbol	4	2	4
7227	Drosophila melanogaster	Invertebrates	mass	MAS	myoblast-specific	49406	ncbigene_synonym	4	2	4
7227	Drosophila melanogaster	Invertebrates	CoA	COA	Coa	248135	ncbigene_symbol	4	2	4
9606	Homo sapiens	Primates	Gcl	GCL	GCLC	2729	ncbigene_synonym	NA	8	3
9606	Homo sapiens	Primates	Gcl	GCL	GCA	25801	ncbigene_synonym	NA	8	3
9606	Homo sapiens	Primates	Gcl	GCL	GMCL1	64395	ncbigene_synonym	NA	8	3
9606	Homo sapiens	Primates	Gcl	GCL	GMCL2	64396	ncbigene_synonym	NA	8	3
9606	Homo sapiens	Primates	Gcl	GC1	SOD2	6648	ncbigene_synonym	NA	8	3
9606	Homo sapiens	Primates	Gcl	GC1	OLFM4	10562	ncbigene_synonym	NA	8	3
9606	Homo sapiens	Primates	Gcl	GC1	SLC25A22	79751	ncbigene_synonym	NA	8	3
9606	Homo sapiens	Primates	mass	MASS	FBN1	2200	ncbigene_synonym	NA	8	3
