organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	LPS	LPS	IRF6	3664	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	TLR4	TLR4	TLR4	7099	ncbigene_symbol	4	13	13
9606	Homo sapiens	Primates	MYD88	MYD88	MYD88	4615	ncbigene_symbol	4	13	13
9606	Homo sapiens	Primates	TRIF	TRIF	TRIM69	140691	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	TRIF	TRIF	TICAM1	148022	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	IRAK-4	IRAK-4	IRAK4	51135	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	IRAK-1	IRAK1	IRAK1	3654	ncbigene_symbol	4	13	13
9606	Homo sapiens	Primates	TRAF-6	TRAF6	TRAF6	7189	ncbigene_symbol	4	13	13
9606	Homo sapiens	Primates	TRAF-	TRAF	TRAF1	7185	famplex_relations	4	13	13
9606	Homo sapiens	Primates	TRAF-	TRAF	TRAF2	7186	famplex_relations	4	13	13
9606	Homo sapiens	Primates	TRAF-	TRAF	TRAF3	7187	famplex_relations	4	13	13
9606	Homo sapiens	Primates	TRAF-	TRAF	TRAF4	9618	famplex_relations	4	13	13
9606	Homo sapiens	Primates	TRAF-	TRAF	TRAF5	7188	famplex_relations	4	13	13
9606	Homo sapiens	Primates	TRAF-	TRAF	TRAF7	84231	famplex_relations	4	13	13
9606	Homo sapiens	Primates	TAK-1	TAK1	MAP3K7	6885	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	TAK-1	TAK1	NR2C2	7182	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	TAK-	TAK	CDK9	1025	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK1	5594	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK3	5595	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK11	5600	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK12	6300	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK13	5603	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK14	1432	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK8	5599	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK9	5601	famplex_relations	4	13	13
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK10	5602	famplex_relations	4	13	13
9606	Homo sapiens	Primates	AP-1	AP-1	FOS	2353	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	AP-1	AP-1	FOSB	2354	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	AP-1	AP-1	JUN	3725	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	AP-1	AP-1	JUNB	3726	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	AP-1	AP-1	JUND	3727	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	NFKB	NFKB	NFKB1	4790	ncbigene_synonym	4	13	13
9606	Homo sapiens	Primates	NFKB	NFKB	RELA	5970	famplex_relations	4	13	13
9606	Homo sapiens	Primates	NFKB	NFKB	RELB	5971	famplex_relations	4	13	13
9606	Homo sapiens	Primates	NFKB	NFKB	REL	5966	famplex_relations	4	13	13
9606	Homo sapiens	Primates	NFKB	NFKB	NFKB2	4791	famplex_relations	4	13	13
7227	Drosophila melanogaster	Invertebrates	TLR4	TLR4	Toll-4	34235	ncbigene_synonym	4	13	10
7227	Drosophila melanogaster	Invertebrates	MYD88	MYD88	Myd88	35956	ncbigene_symbol	4	13	10
7227	Drosophila melanogaster	Invertebrates	TRAF-6	TRAF6	Traf6	31746	ncbigene_symbol	4	13	10
7227	Drosophila melanogaster	Invertebrates	TRAF-	TRAF	Traf4	33638	ncbigene_synonym	4	13	10
7227	Drosophila melanogaster	Invertebrates	TAK-1	TAK-1	Tak1	39659	ncbigene_synonym	4	13	10
7227	Drosophila melanogaster	Invertebrates	TAK-	TAK	tak	44083	ncbigene_symbol	4	13	10
7227	Drosophila melanogaster	Invertebrates	TAK-	TAK	Takl2	42692	ncbigene_synonym	4	13	10
7227	Drosophila melanogaster	Invertebrates	MAPK	MAPK	MKP-4	32963	ncbigene_synonym	4	13	10
7227	Drosophila melanogaster	Invertebrates	MAPK	MAPK	p38b	34780	ncbigene_synonym	4	13	10
7227	Drosophila melanogaster	Invertebrates	MAPK	MAPK	rl	3354888	ncbigene_synonym	4	13	10
7227	Drosophila melanogaster	Invertebrates	AP-	AP	ap	35509	ncbigene_symbol	4	13	10
7227	Drosophila melanogaster	Invertebrates	AP-1	AP-1	AP-1gamma	31842	ncbigene_synonym	4	13	10
