organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	Myc	MYC	Myc	31310	ncbigene_symbol	5	6
7227	Drosophila melanogaster	Invertebrates	Myc	MYC	Myc	31310	ncbigene_synonym	5	6
7227	Drosophila melanogaster	Invertebrates	Nod	NOD	nod	32107	ncbigene_symbol	5	6
7227	Drosophila melanogaster	Invertebrates	Nod	NOD	nod	32107	ncbigene_synonym	5	6
7227	Drosophila melanogaster	Invertebrates	SYM	SYM	Sym	40709	ncbigene_symbol	5	6
7227	Drosophila melanogaster	Invertebrates	CaM	CAM	Cam	36329	ncbigene_symbol	5	6
7227	Drosophila melanogaster	Invertebrates	CaM	CAM	Cam	36329	ncbigene_synonym	5	6
7227	Drosophila melanogaster	Invertebrates	CaM	CAM	CaMKII	43828	ncbigene_synonym	5	6
7227	Drosophila melanogaster	Invertebrates	ERN1	ERN1	Ire1	42358	ncbigene_synonym	5	6
7227	Drosophila melanogaster	Invertebrates	NIN	NIN	Nin	33757	ncbigene_symbol	5	6
7227	Drosophila melanogaster	Invertebrates	NIN	NIN	Nin	33757	ncbigene_synonym	5	6
9606	Homo sapiens	Primates	Myc	MYC	MYC	4609	ncbigene_symbol	3	10
9606	Homo sapiens	Primates	Nod	NOD	ATN1	1822	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	SYM	SYM	SYMPK	8189	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	RAM1	RAM1	SLC20A2	6575	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	RAM1	RAM1	EDDM3A	10876	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	NSP1	NSP1	SH2D3A	10045	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	CaM	CAM	CALM1	801	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	CaM	CAM	CALM2	805	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	CaM	CAM	CALM3	808	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	CaM	CAM	KRIT1	889	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	CaM	CAM	CAMKMT	79823	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	NSP2	NSP2	RTN2	6253	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	NSP2	NSP2	BCAR3	8412	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	ERN1	ERN1	ERN1	2081	ncbigene_symbol	3	10
9606	Homo sapiens	Primates	RAM2	RAM2	CDCA7L	55536	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	RAM2	RAM2	EDDM3B	64184	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	NIN	NIN	NIN	51199	ncbigene_symbol	3	10
