organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	AADÇ	AADC	DDC	1644	ncbigene_synonym	1	5	4
9606	Homo sapiens	Primates	LAT	LAT	LAT	27040	ncbigene_symbol	1	5	4
9606	Homo sapiens	Primates	LAT	LAT	ORC3	23595	ncbigene_synonym	1	5	4
9606	Homo sapiens	Primates	LAT	LAT	SPNS1	83985	ncbigene_synonym	1	5	4
9606	Homo sapiens	Primates	SERT	SERT	SLC6A4	6532	ncbigene_synonym	1	5	4
9606	Homo sapiens	Primates	NSD	NSD	SLC17A5	26503	ncbigene_synonym	1	5	4
7227	Drosophila melanogaster	Invertebrates	TPH	TPH	Hn	38871	ncbigene_synonym	3	4	6
7227	Drosophila melanogaster	Invertebrates	AADÇ	AADC	Ddc	35190	ncbigene_synonym	3	4	6
7227	Drosophila melanogaster	Invertebrates	LAT	LAT	et	32975	ncbigene_synonym	3	4	6
7227	Drosophila melanogaster	Invertebrates	LAT	LAT	Orc3	36454	ncbigene_synonym	3	4	6
7227	Drosophila melanogaster	Invertebrates	SERT	SERT	SerT	37895	ncbigene_symbol	3	4	6
7227	Drosophila melanogaster	Invertebrates	VMAT	VMAT	Vmat	3346192	ncbigene_symbol	3	4	6
7227	Drosophila melanogaster	Invertebrates	NSD	NSD	NSD	43351	ncbigene_symbol	3	4	6
