organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	Trx	TRX	TXN	7295	ncbigene_synonym	NA	7	6
9606	Homo sapiens	Primates	Trx	TRX	VAC14	55697	ncbigene_synonym	NA	7	6
9606	Homo sapiens	Primates	NADPH-dependent	NADPH	DECR1	1666	ncbigene_synonym	NA	7	6
9606	Homo sapiens	Primates	Srx	SRX	SRXN1	140809	ncbigene_synonym	NA	7	6
9606	Homo sapiens	Primates	Grx,	GRX	GLRX	2745	ncbigene_synonym	NA	7	6
9606	Homo sapiens	Primates	IGE	IGE	IGHE	3497	ncbigene_synonym	NA	7	6
9606	Homo sapiens	Primates	G6PDH	G6PDH	H6PD	9563	ncbigene_synonym	NA	7	6
7227	Drosophila melanogaster	Invertebrates	PPP	PPP	amon	43215	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	and	AND	CkIIbeta	32132	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	and	AND	Andorra	32798	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	and	AND	Anp	43595	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	and	AND	Acam	44913	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	NADPH-dependentGRandTrx/TrxR	TRXR	Trxr-1	31760	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	NADPH-dependentGRandTrx/TrxR	TRXR	Trxr-2	40475	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	Trx	TRX	trx	41737	ncbigene_symbol	3	9	7
7227	Drosophila melanogaster	Invertebrates	Trx	TRX	Trx-2	34281	ncbigene_synonym	3	9	7
7227	Drosophila melanogaster	Invertebrates	GR	GR	gr	251210	ncbigene_symbol	3	9	7
7227	Drosophila melanogaster	Invertebrates	G6P	G6P	G6P	33476	ncbigene_symbol	3	9	7
7227	Drosophila melanogaster	Invertebrates	G6PDH	G6PDH	Zw	32974	ncbigene_synonym	3	9	7
