organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	Myc	MYC	Myc	31310	ncbigene_symbol	4	4
7227	Drosophila melanogaster	Invertebrates	Myc	MYC	Myc	31310	ncbigene_synonym	4	4
7227	Drosophila melanogaster	Invertebrates	PTEN	PTEN	Pten	43991	ncbigene_symbol	4	4
7227	Drosophila melanogaster	Invertebrates	PTEN	PTEN	Pten	43991	ncbigene_synonym	4	4
7227	Drosophila melanogaster	Invertebrates	TET	TET	Tet	38347	ncbigene_symbol	4	4
7227	Drosophila melanogaster	Invertebrates	TET	TET	Tet	38347	ncbigene_synonym	4	4
7227	Drosophila melanogaster	Invertebrates	OFF	OFF	Off	249997	ncbigene_symbol	4	4
9606	Homo sapiens	Primates	Myc	MYC	MYC	4609	ncbigene_symbol	3	4
9606	Homo sapiens	Primates	miR-22+?	MIR22	MIR22	407004	ncbigene_symbol	3	4
9606	Homo sapiens	Primates	miR-22+?	MIR22	MIR22	407004	ncbigene_synonym	3	4
9606	Homo sapiens	Primates	miR-22	MIR-22	MIR22	407004	ncbigene_synonym	3	4
9606	Homo sapiens	Primates	PTEN	PTEN	PTEN	5728	ncbigene_symbol	3	4
