organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	ATM	ATM	ATM	472	ncbigene_symbol	3	7	7
9606	Homo sapiens	Primates	ATR	ATR	ATR	545	ncbigene_symbol	3	7	7
9606	Homo sapiens	Primates	ATR	ATR	ANTXR1	84168	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	ATR	ATR	MMAB	326625	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	ATR	ATR	SERPINA2	390502	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	Chk2	CHK2	CHEK2	11200	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	Chk1	CHK1	CHEK1	1111	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	p53	P53	TP53	7157	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	p53	P53	TP63	8626	famplex_relations	3	7	7
9606	Homo sapiens	Primates	p53	P53	TP73	7161	famplex_relations	3	7	7
9606	Homo sapiens	Primates	Rad51	RAD51	RAD51	5888	ncbigene_symbol	3	7	7
9606	Homo sapiens	Primates	Jab1	JAB1	COPS5	10987	ncbigene_synonym	3	7	7
7955	Danio rerio	Vertebrates	ATM	ATM	atm	403064	ncbigene_symbol	3	2	5
7955	Danio rerio	Vertebrates	ATR	ATR	atr	567770	ncbigene_symbol	3	2	5
7955	Danio rerio	Vertebrates	p53	P53	tp53	30590	ncbigene_synonym	3	2	5
7955	Danio rerio	Vertebrates	Rad51	RAD51	rad51	406487	ncbigene_symbol	3	2	5
7955	Danio rerio	Vertebrates	Jab1	JAB1	cops5	393698	ncbigene_synonym	3	2	5
3702	Arabidopsis thaliana	Plants and Fungi	ATM	ATM	ATM	823975	ncbigene_symbol	3	1	4
3702	Arabidopsis thaliana	Plants and Fungi	ATR	ATR	ATR	834082	ncbigene_symbol	3	1	4
3702	Arabidopsis thaliana	Plants and Fungi	Rad51	RAD51	RAD51	832208	ncbigene_symbol	3	1	4
3702	Arabidopsis thaliana	Plants and Fungi	Jab1	JAB1	CSN5A	838899	ncbigene_synonym	3	1	4
6239	Caenorhabditis elegans	Invertebrates	Chk2	CHK2	chk-2	180304	ncbigene_symbol	3	NA	3
6239	Caenorhabditis elegans	Invertebrates	Chk1	CHK1	chk-1	3565921	ncbigene_symbol	3	NA	3
6239	Caenorhabditis elegans	Invertebrates	Rad51	RAD51	rad-51	177914	ncbigene_symbol	3	NA	3
