organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	ATM	ATM	tefu	41839	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	ABL	ABL	Abl	45821	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	ABL	ABL	Abl	45821	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	Ac-K	ACK	Ack	38489	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	Ac-K	ACK	Ack	38489	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	ps	PS	ps	44258	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	Tip60	TIP60	Tip60	31362	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	Tip60	TIP60	Tip60	31362	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	HAT	HAT	hat	47804	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	HAT	HAT	Elp3	33649	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	HAT	HAT	CG1894	43378	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	HAT	HAT	chm	43928	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	HAT	HAT	hat	47804	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	acK	ACK	Ack	38489	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	acK	ACK	Ack	38489	ncbigene_synonym	6	6
