word	mesh	match	name	chebi
2-oxoisovalerate	mesh:C001505	NA	NA	NA
pyrimidines	mesh:C030986	NA	NA	NA
ribulose-5-R	mesh:C100182	NA	NA	NA
Ala	mesh:D000409	Alanine	alanine	chebi:16449
ethanol	mesh:D000431	Ethanol	ethanol	chebi:16236
ammonia	mesh:D000641	Ammonia	ammonia	chebi:16134
Arg	mesh:D001120	Arginine	arginine	chebi:29016
Arg Asp	mesh:D001120	Arginine	arginine	chebi:29016
Asn	mesh:D001216	Asparagine	L-asparagine	chebi:17196
L-aspartate	mesh:D001224	NA	NA	NA
Arg Asp	mesh:D001224	NA	NA	NA
Asp	mesh:D001224	NA	NA	NA
Cys	mesh:D003545	Cysteine	cysteine	chebi:15356
FAD	mesh:D005182	Flavin-Adenine Dinucleotide	FAD	chebi:16238
fructose-6-P	mesh:D005632	Fructose	fructose	chebi:28757
D-glucosamine-6-P	mesh:D005944	Glucosamine	glucosamine	chebi:5417
glucose-6-P	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
glutathione	mesh:D005978	Glutathione	glutathione	chebi:16856
glyceraldehyde-3-P	mesh:D005985	Glyceraldehyde	glyceraldehyde	chebi:5445
GDP-mannose	mesh:D006155	Guanosine Diphosphate Mannose	GDP-alpha-D-mannose	chebi:15820
Leu	mesh:D007930	Leucine	L-leucine	chebi:15603
Lys	mesh:D008239	Lysine	L-lysine	chebi:18019
mannose	mesh:D008358	Mannose	D-mannopyranose	chebi:4208
nitrate	mesh:D009566	Nitrates	nitrates	chebi:51081
nitrite	mesh:D009573	Nitrites	nitrites	chebi:25549
oxaloacetate	mesh:D010071	NA	NA	NA
Phe	mesh:D010649	Phenylalanine	phenylalanine	chebi:28044
Phosphate	mesh:D010710	NA	NA	NA
Putrescine	mesh:D011700	Putrescine	putrescine	chebi:17148
pyridoxal-5-P	mesh:D011730	Pyridoxal	pyridoxal	chebi:17310
pyruvate	mesh:D011773	NA	NA	NA
riboflavin	mesh:D012256	Riboflavin	riboflavin	chebi:17015
ribose-5-P	mesh:D012266	NA	NA	NA
Ser	mesh:D012694	Serine	L-serine	chebi:17115
Sulfate	mesh:D013431	Sulfates	inorganic sulfate salt	chebi:24840
isoprenoids	mesh:D013729	terpene	Terpenes	chebi:35186
Thiamine	mesh:D013831	Thiamine	thiamine(1+)	chebi:18385
Thr	mesh:D013912	Threonine	L-threonine	chebi:16857
trehalose-6-P	mesh:D014199	Trehalose	alpha,alpha-trehalose	chebi:16551
Trp	mesh:D014364	Tryptophan	L-tryptophan	chebi:16828
ubiquinone	mesh:D014451	Ubiquinone	ubiquinones	chebi:16389
Val	mesh:D014633	Valine	L-valine	chebi:16414
lactate	mesh:D019344	NA	NA	NA
