organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	-ATP,Cys	CYS	Cys	41767	ncbigene_symbol	4	6	7
7227	Drosophila melanogaster	Invertebrates	-ATP,Cys	CYS	mmy	33903	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	-ATP,Cys	CYS	Csp	40459	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	-ATP,	ATP	ATPsynbeta	43829	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	-ATP,	ATP	Atpalpha	48971	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	Pi	PI	pi	5656965	ncbigene_symbol	4	6	7
7227	Drosophila melanogaster	Invertebrates	AMP,	AMP	Amph	36383	ncbigene_synonym	4	6	7
7227	Drosophila melanogaster	Invertebrates	HN	HN	Hn	38871	ncbigene_symbol	4	6	7
7227	Drosophila melanogaster	Invertebrates	COA	COA	Coa	248135	ncbigene_symbol	4	6	7
7227	Drosophila melanogaster	Invertebrates	MSH	MSH	Dr	45285	ncbigene_synonym	4	6	7
9606	Homo sapiens	Primates	Ino1	INO1	ISYNA1	51477	ncbigene_synonym	NA	7	5
9606	Homo sapiens	Primates	-ATP,Cys	ATP	ATP8A2	51761	ncbigene_synonym	NA	7	5
9606	Homo sapiens	Primates	AMP,	AMP	APRT	353	ncbigene_synonym	NA	7	5
9606	Homo sapiens	Primates	AMP,	AMP	MFAP1	4236	ncbigene_synonym	NA	7	5
9606	Homo sapiens	Primates	COAC	COAC	PPCDC	60490	ncbigene_synonym	NA	7	5
9606	Homo sapiens	Primates	MSH	MSH	MSX2	4488	ncbigene_synonym	NA	7	5
9606	Homo sapiens	Primates	MSH	MSH	POMC	5443	ncbigene_synonym	NA	7	5
