word	mesh	match	name	chebi
D-ribulose-1,5-bisphosphate	mesh:C001933	NA	NA	NA
plastoquinol	mesh:C003165	NA	NA	NA
D-sedoheptulose-7-phosphate	mesh:C020495	NA	NA	NA
D-sedoheptulose-1,7-bisphosphate	mesh:C022079	NA	NA	NA
D-fructose-6-phosphate	mesh:C027618	NA	NA	NA
fructose-1,6-bisphosphate	mesh:C029063	keto-D-fructose 1,6-bisphosphate	fructose-1,6-diphosphate	chebi:16905
D-ribulose-5-phosphate	mesh:C031524	ribulose 5-phosphate	ribulose 5-phosphate	chebi:37455
D-xylulose-5-phosphate	mesh:C031625	NA	NA	NA
D-ribose-5-phosphate	mesh:C031626	ribose phosphate	ribose-5-phosphate	chebi:26562
Cys	mesh:D003545	Cysteine	cysteine	chebi:15356
dihydroxyacetone phosphate	mesh:D004099	dihydroxyacetone phosphate	Dihydroxyacetone Phosphate	chebi:16108
D-glyceraldehyde-3-phosphate	mesh:D005986	Glyceraldehyde 3-Phosphate	glyceraldehyde 3-phosphate	chebi:17138
plastoquinone	mesh:D010971	Plastoquinone	plastoquinone	chebi:17757
