organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
10090	Mus musculus	Rodents	(Fads2)	FADS2	Fads2	56473	ncbigene_symbol	5	2	7
10090	Mus musculus	Rodents	(Fads1)	FADS1	Fads1	76267	ncbigene_symbol	5	2	7
10090	Mus musculus	Rodents	(AA)	AA	H2-Aa	14960	ncbigene_synonym	5	2	7
10090	Mus musculus	Rodents	(EPA)	EPA	Timp1	21857	ncbigene_synonym	5	2	7
10090	Mus musculus	Rodents	(Elovl5)	ELOVL5	Elovl5	68801	ncbigene_symbol	5	2	7
10090	Mus musculus	Rodents	(DPA)	DPA	Dpa	103997	ncbigene_symbol	5	2	7
10090	Mus musculus	Rodents	(Elovl2)	ELOVL2	Elovl2	54326	ncbigene_symbol	5	2	7
9606	Homo sapiens	Primates	(Fads2)	FADS2	FADS2	9415	ncbigene_symbol	4	3	5
9606	Homo sapiens	Primates	(Fads2)	FADS2	RAPSN	5913	ncbigene_synonym	4	3	5
9606	Homo sapiens	Primates	(Fads1)	FADS1	FADS1	3992	ncbigene_symbol	4	3	5
9606	Homo sapiens	Primates	(Fads1)	FADS1	MUSK	4593	ncbigene_synonym	4	3	5
9606	Homo sapiens	Primates	(EPA)	EPA	TIMP1	7076	ncbigene_synonym	4	3	5
9606	Homo sapiens	Primates	(Elovl5)	ELOVL5	ELOVL5	60481	ncbigene_symbol	4	3	5
9606	Homo sapiens	Primates	(Elovl2)	ELOVL2	ELOVL2	54898	ncbigene_symbol	4	3	5
10116	Rattus norvegicus	Rodents	(Fads2)	FADS2	Fads2	83512	ncbigene_symbol	4	NA	4
10116	Rattus norvegicus	Rodents	(Fads1)	FADS1	Fads1	84575	ncbigene_symbol	4	NA	4
10116	Rattus norvegicus	Rodents	(Elovl5)	ELOVL5	Elovl5	171400	ncbigene_symbol	4	NA	4
10116	Rattus norvegicus	Rodents	(Elovl2)	ELOVL2	Elovl2	498728	ncbigene_symbol	4	NA	4
9031	Gallus gallus	Vertebrates	(Fads2)	FADS2	FADS2	423122	ncbigene_symbol	4	NA	4
9031	Gallus gallus	Vertebrates	(Fads1)	FADS1	FADS1	423120	ncbigene_symbol	4	NA	4
9031	Gallus gallus	Vertebrates	(Elovl5)	ELOVL5	ELOVL5	428646	ncbigene_symbol	4	NA	4
9031	Gallus gallus	Vertebrates	(Elovl2)	ELOVL2	ELOVL2	420858	ncbigene_symbol	4	NA	4
7227	Drosophila melanogaster	Invertebrates	(LA)	LA	La	35305	ncbigene_symbol	3	1	4
7227	Drosophila melanogaster	Invertebrates	(AA)	AA	aa	44792	ncbigene_symbol	3	1	4
7227	Drosophila melanogaster	Invertebrates	(EPA)	EPA	Pka-R2	36041	ncbigene_synonym	3	1	4
7227	Drosophila melanogaster	Invertebrates	(DPA)	DPA	dpa	35679	ncbigene_symbol	3	1	4
7955	Danio rerio	Vertebrates	(Fads2)	FADS2	fads2	140615	ncbigene_symbol	3	1	4
7955	Danio rerio	Vertebrates	(Elovl5)	ELOVL5	elovl5	393425	ncbigene_symbol	3	1	4
7955	Danio rerio	Vertebrates	(Elovl2)	ELOVL2	elovl2	678614	ncbigene_symbol	3	1	4
7955	Danio rerio	Vertebrates	(DHA)	DHA	dharma	30170	ncbigene_synonym	3	1	4
