organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
10090	Mus musculus	Rodents	miR-150	MIR-150	Mir150	387168	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	GAB1	GAB1	Gab1	14388	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	Cbl-b	CBL-B	Cblb	208650	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	PI3K	PI3K	Pik3r1	18708	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	SHIP	SHIP	Inpp5d	16331	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	BIM	BIM	Bcl2l11	12125	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	PTPN22	PTPN22	Ptpn22	19260	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	miR-155	MIR-155	Mir155	387173	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	miR-181a	MIR-181A	Mir181a-2	387176	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	PDK1	PDK1	Pdk1	228026	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	PDK1	PDK1	Pdpk1	18607	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	Btk	BTK	Btk	12229	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	PTEN	PTEN	Pten	19211	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	miR-185	MIR-185	Mir185	387180	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	PHLPP2	PHLPP2	Phlpp2	244650	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	miR-17-92	MIR-17-92	Mir17hg	75957	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	miR-21	MIR21	Mir21a	387140	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	miR-22	MIR-22	Mir22hg	100042498	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	PKB	PKB	Akt1	11651	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	PKB	PKB	Akt2	11652	ncbigene_synonym	11	14	23
10090	Mus musculus	Rodents	TSC1	TSC1	Tsc1	64930	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	TSC2	TSC2	Tsc2	22084	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	IT	IT	It	103984	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	BAD	BAD	Bad	12015	ncbigene_symbol	11	14	23
10090	Mus musculus	Rodents	MTOR	MTOR	Mtor	56717	ncbigene_symbol	11	14	23
9606	Homo sapiens	Primates	miR-150	MIR-150	MIR150	406942	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	GAB1	GAB1	GAB1	2549	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	GAB1	GAB1	PIGU	128869	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	Cbl-b	CBL-B	CBLB	868	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R4	30849	famplex_relations	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R5	23533	famplex_relations	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R6	146850	famplex_relations	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R1	5295	famplex_relations	10	19	22
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R2	5296	famplex_relations	10	19	22
9606	Homo sapiens	Primates	SHIP	SHIP	INPP5D	3635	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	BIM	BIM	BCL2L11	10018	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PTPN22	PTPN22	PTPN22	26191	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	miR-155	MIR-155	MIR155	406947	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PDK1	PDK1	PDK1	5163	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	PDK1	PDK1	PDPK1	5170	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	Btk	BTK	BTK	695	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	PTEN	PTEN	PTEN	5728	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	miR-185	MIR-185	MIR185	406961	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PHLPP2	PHLPP2	PHLPP2	23035	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	miR-7	MIR-7	LILRB1	10859	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	miR-17-92	MIR-17-92	MIR17HG	407975	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	miR-21	MIR-21	MIR21	406991	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	miR-22	MIR-22	MIR22	407004	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PKB	PKB	AKT1	207	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	PKB	PKB	PTK2B	2185	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	TSC1	TSC1	TSC1	7248	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	TSC1	TSC1	CCL26	10344	ncbigene_synonym	10	19	22
9606	Homo sapiens	Primates	TSC2	TSC2	TSC2	7249	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	BAD	BAD	BAD	572	ncbigene_symbol	10	19	22
9606	Homo sapiens	Primates	MTOR	MTOR	MTOR	2475	ncbigene_symbol	10	19	22
7955	Danio rerio	Vertebrates	miR-150	MIR150	mir150	100033674	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	GAB1	GAB1	gab1	406666	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	Cbl-b	CBLB	cblb	556277	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	BIM	BIM	bcl2l11	100190951	ncbigene_synonym	10	4	14
7955	Danio rerio	Vertebrates	PTPN22	PTPN22	ptpn22	565606	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	miR-155	MIR155	mir155	100033679	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	PDK1	PDK1	pdk1	555840	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	Btk	BTK	btk	568653	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	PTEN	PTEN	ptenb	368415	ncbigene_synonym	10	4	14
7955	Danio rerio	Vertebrates	PHLPP2	PHLPP2	phlpp2	100101638	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	TSC1	TSC1	tsc1b	100330617	ncbigene_synonym	10	4	14
7955	Danio rerio	Vertebrates	TSC2	TSC2	tsc2	567524	ncbigene_symbol	10	4	14
7955	Danio rerio	Vertebrates	BAD	BAD	badb	58100	ncbigene_synonym	10	4	14
7955	Danio rerio	Vertebrates	MTOR	MTOR	mtor	324254	ncbigene_symbol	10	4	14
