organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	HSC)	HSC	FUT1	2523	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	mNK	MNK	ATP7A	538	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	(CD127)	CD127	IL7R	3575	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	(CD122)	CD122	IL2RB	3560	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	IL-15	IL-15	IL15	3600	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	РІЗК-АКТ-mТOR	MOR	OPRM1	4988	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	STAT5	STAT5	STAT5A	6776	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	STAT5	STAT5	STAT5B	6777	ncbigene_synonym	NA	9	8
9606	Homo sapiens	Primates	E4BP4	E4BP4	NFIL3	4783	ncbigene_synonym	NA	9	8
10090	Mus musculus	Rodents	mNK	MNK	Atp7a	11977	ncbigene_synonym	NA	7	7
10090	Mus musculus	Rodents	(CD127)	CD127	Il7r	16197	ncbigene_synonym	NA	7	7
10090	Mus musculus	Rodents	(CD122)	CD122	Il2rb	16185	ncbigene_synonym	NA	7	7
10090	Mus musculus	Rodents	IL-15	IL-15	Il15	16168	ncbigene_synonym	NA	7	7
10090	Mus musculus	Rodents	РІЗК-АКТ-mТOR	MOR	Oprm1	18390	ncbigene_synonym	NA	7	7
10090	Mus musculus	Rodents	STAT5	STAT5	Stat5a	20850	ncbigene_synonym	NA	7	7
10090	Mus musculus	Rodents	E4BP4	E4BP4	Nfil3	18030	ncbigene_synonym	NA	7	7
9606	Homo sapiens	Primates	HSC)	HSC	FUT1	2523	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	mNK	MNK	ATP7A	538	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	(CD127)	CD127	IL7R	3575	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	(CD122)	CD122	IL2RB	3560	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	IL-15	IL-15	IL15	3600	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	РІЗК-АКТ-mТOR	MOR	OPRM1	4988	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	STAT5	STAT5	STAT5A	6776	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	STAT5	STAT5	STAT5B	6777	ncbigene_synonym	1	9	8
9606	Homo sapiens	Primates	E4BP4	E4BP4	NFIL3	4783	ncbigene_synonym	1	9	8
10090	Mus musculus	Rodents	mNK	MNK	Atp7a	11977	ncbigene_synonym	1	7	7
10090	Mus musculus	Rodents	(CD127)	CD127	Il7r	16197	ncbigene_synonym	1	7	7
10090	Mus musculus	Rodents	(CD122)	CD122	Il2rb	16185	ncbigene_synonym	1	7	7
10090	Mus musculus	Rodents	IL-15	IL-15	Il15	16168	ncbigene_synonym	1	7	7
10090	Mus musculus	Rodents	РІЗК-АКТ-mТOR	MOR	Oprm1	18390	ncbigene_synonym	1	7	7
10090	Mus musculus	Rodents	STAT5	STAT5	Stat5a	20850	ncbigene_synonym	1	7	7
10090	Mus musculus	Rodents	E4BP4	E4BP4	Nfil3	18030	ncbigene_synonym	1	7	7
