organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	Dcytb	DCYTB	CYBRD1	79901	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	Hp	HP	HP	3240	ncbigene_symbol	3	9	8
9606	Homo sapiens	Primates	IREG1	IREG1	SLC40A1	30061	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	HCP1	HCP1	CENPF	1063	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	HCP1	HCP1	PRMT1	3276	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	HCP1	HCP1	PDE7A	5150	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	HCP1	HCP1	SLC46A1	113235	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	HCP1	HCP1	CYCSP51	343045	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	IRP	IRP	WNT2	7472	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	HFE	HFE	HFE	3077	ncbigene_symbol	3	9	8
9606	Homo sapiens	Primates	TfR	TFR	TFRC	7037	ncbigene_synonym	3	9	8
9606	Homo sapiens	Primates	Tf	TF	TF	7018	ncbigene_symbol	3	9	8
7227	Drosophila melanogaster	Invertebrates	Hp	HP	hp	251278	ncbigene_symbol	4	3	5
7227	Drosophila melanogaster	Invertebrates	Cu?	CU	cu	41339	ncbigene_symbol	4	3	5
7227	Drosophila melanogaster	Invertebrates	Cd?	CD	cd	42681	ncbigene_symbol	4	3	5
7227	Drosophila melanogaster	Invertebrates	IRP	IRP	Ilp2	39150	ncbigene_synonym	4	3	5
7227	Drosophila melanogaster	Invertebrates	IRP	IRP	Irp-1B	41269	ncbigene_synonym	4	3	5
7227	Drosophila melanogaster	Invertebrates	IRP	IRP	Irp-1A	42689	ncbigene_synonym	4	3	5
7227	Drosophila melanogaster	Invertebrates	Tf	TF	tf	252813	ncbigene_symbol	4	3	5
