organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
10090	Mus musculus	Rodents	Arf1	ARF1	Arf1	11840	ncbigene_symbol	8	3	11
10090	Mus musculus	Rodents	Arf6	ARF6	Arf6	11845	ncbigene_symbol	8	3	11
10090	Mus musculus	Rodents	Rab27a	RAB27A	Rab27a	11891	ncbigene_symbol	8	3	11
10090	Mus musculus	Rodents	Rab6	RAB6	Rab6a	19346	ncbigene_synonym	8	3	11
10090	Mus musculus	Rodents	Rab4	RAB4	Rab4a	19341	ncbigene_synonym	8	3	11
10090	Mus musculus	Rodents	Rab27b	RAB27B	Rab27b	80718	ncbigene_symbol	8	3	11
10090	Mus musculus	Rodents	TGN	TGN	Tg	21819	ncbigene_synonym	8	3	11
10090	Mus musculus	Rodents	Rab7b	RAB7B	Rab7b	226421	ncbigene_symbol	8	3	11
10090	Mus musculus	Rodents	Rab9	RAB9	Rab9	56382	ncbigene_symbol	8	3	11
10090	Mus musculus	Rodents	Rab22a	RAB22A	Rab22a	19334	ncbigene_symbol	8	3	11
10090	Mus musculus	Rodents	Rab7	RAB7	Rab7	19349	ncbigene_symbol	8	3	11
9606	Homo sapiens	Primates	Arf1	ARF1	ARF1	375	ncbigene_symbol	6	7	12
9606	Homo sapiens	Primates	Arf1	ARF1	ARF1P1	442334	ncbigene_synonym	6	7	12
9606	Homo sapiens	Primates	Arf6	ARF6	ARF6	382	ncbigene_symbol	6	7	12
9606	Homo sapiens	Primates	Rab27a	RAB27A	RAB27A	5873	ncbigene_symbol	6	7	12
9606	Homo sapiens	Primates	Rab6	RAB6	RAB6A	5870	ncbigene_synonym	6	7	12
9606	Homo sapiens	Primates	Rab4	RAB4	RAB4A	5867	ncbigene_synonym	6	7	12
9606	Homo sapiens	Primates	Rab5	RAB5	RAB5A	5868	ncbigene_synonym	6	7	12
9606	Homo sapiens	Primates	Rab27b	RAB27B	RAB27B	5874	ncbigene_symbol	6	7	12
9606	Homo sapiens	Primates	TGN	TGN	TG	7038	ncbigene_synonym	6	7	12
9606	Homo sapiens	Primates	Rab7b	RAB7B	RAB7B	338382	ncbigene_symbol	6	7	12
9606	Homo sapiens	Primates	Rab9	RAB9	RAB9A	9367	ncbigene_synonym	6	7	12
9606	Homo sapiens	Primates	Rab22a	RAB22A	RAB22A	57403	ncbigene_symbol	6	7	12
9606	Homo sapiens	Primates	Rab7	RAB7	RAB7A	7879	ncbigene_synonym	6	7	12
10116	Rattus norvegicus	Rodents	Arf1	ARF1	Arf1	64310	ncbigene_symbol	6	5	11
10116	Rattus norvegicus	Rodents	Arf6	ARF6	Arf6	79121	ncbigene_symbol	6	5	11
10116	Rattus norvegicus	Rodents	Rab27a	RAB27A	Rab27a	50645	ncbigene_symbol	6	5	11
10116	Rattus norvegicus	Rodents	Rab6	RAB6	Rab6a	84379	ncbigene_synonym	6	5	11
10116	Rattus norvegicus	Rodents	Rab4	RAB4	Rab4a	25532	ncbigene_synonym	6	5	11
10116	Rattus norvegicus	Rodents	Rab27b	RAB27B	Rab27b	84590	ncbigene_symbol	6	5	11
