organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	BMP6	BMP6	BMP6	654	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	MIR31	MIR31	MIR31	407035	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	SEMA4	SEMA4	SEMA3F	6405	ncbigene_synonym	48	21	66
9606	Homo sapiens	Primates	PLAUR	PLAUR	PLAUR	5329	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	CSPG4	CSPG4	CSPG4	1464	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	MTSS1)	MTSS1	MTSS1	9788	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	(CDHII	CDH2	CDH2	1000	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	CSF2	CSF2	CSF2	1437	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	C3	C3	C3	718	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	(EPCAM	EPCAM	EPCAM	4072	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	CTNNB)	CTNNB	CTNNB1	1499	ncbigene_synonym	48	21	66
9606	Homo sapiens	Primates	LIF	LIF	LIF	3976	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	GADD45	GADD45	GADD45A	1647	ncbigene_synonym	48	21	66
9606	Homo sapiens	Primates	BCAR3	BCAR3	BCAR3	8412	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	DAB2	DAB2	DAB2	1601	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	JAG2	JAG2	JAG2	3714	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	(GDF15	GDF15	GDF15	9518	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	STC2	STC2	STC2	8614	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	HRAS	HRAS	HRAS	3265	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	SOD2	SOD2	SOD2	6648	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	SOD2	SOD2	SOD2-OT1	100129518	ncbigene_synonym	48	21	66
9606	Homo sapiens	Primates	FASN	FASN	FASN	2194	ncbigene_symbol	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNTL5	168391	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNTL6	442117	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT1	2589	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT2	2590	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT3	2591	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT4	8693	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT5	11227	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT6	11226	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT7	51809	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT8	26290	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT9	50614	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT10	55568	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT11	63917	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT12	79695	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT13	114805	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT14	79623	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT15	117248	famplex_relations	48	21	66
9606	Homo sapiens	Primates	GALNT	GALNT	GALNT16	57452	famplex_relations	48	21	66
