organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
10090	Mus musculus	Rodents	theas	THEA	Acot11	329910	ncbigene_synonym	3	4	4
10090	Mus musculus	Rodents	APC	APC	Apc	11789	ncbigene_symbol	3	4	4
10090	Mus musculus	Rodents	PCP)	PCP	pcp	18543	ncbigene_symbol	3	4	4
10090	Mus musculus	Rodents	PCP)	PCP	Bmp1	12153	ncbigene_synonym	3	4	4
10090	Mus musculus	Rodents	PCP)	PCP	Pgpep1	66522	ncbigene_synonym	3	4	4
10090	Mus musculus	Rodents	PCP)	PCP	Prcp	72461	ncbigene_synonym	3	4	4
10090	Mus musculus	Rodents	DA	DA	da	13130	ncbigene_symbol	3	4	4
9606	Homo sapiens	Primates	WNT	WNT	WNT1	7471	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT2	7472	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT2B	7482	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT3	7473	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT3A	89780	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT4	54361	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT6	7475	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT7A	7476	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT7B	7477	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT8A	7478	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT8B	7479	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT9A	7483	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT9B	7484	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT10A	80326	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT10B	7480	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT11	7481	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT16	51384	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT5A	7474	famplex_relations	1	6	5
9606	Homo sapiens	Primates	WNT	WNT	WNT5B	81029	famplex_relations	1	6	5
9606	Homo sapiens	Primates	theas	THEA	ACOT11	26027	ncbigene_synonym	1	6	5
9606	Homo sapiens	Primates	APC	APC	APC	324	ncbigene_symbol	1	6	5
9606	Homo sapiens	Primates	APC	APC	PROC	5624	ncbigene_synonym	1	6	5
9606	Homo sapiens	Primates	Pan	PAN	ADA2	51816	ncbigene_synonym	1	6	5
9606	Homo sapiens	Primates	PCP)	PCP	BMP1	649	ncbigene_synonym	1	6	5
9606	Homo sapiens	Primates	PCP)	PCP	PRCP	5547	ncbigene_synonym	1	6	5
9606	Homo sapiens	Primates	PCP)	PCP	PGPEP1	54858	ncbigene_synonym	1	6	5
7227	Drosophila melanogaster	Invertebrates	WNT	WNT	Wnt5	32838	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	WNT	WNT	Wnt4	34007	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	WNT	WNT	wg	34009	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	WNT	WNT	Wnt2	35975	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	APC	APC	Apc	44642	ncbigene_symbol	4	9	5
7227	Drosophila melanogaster	Invertebrates	APC	APC	Apc2	42871	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	APC	APC	Axn	43565	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	APC	APC	Fs(3)Apc	49116	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	Pan	PAN	pan	43769	ncbigene_symbol	4	9	5
7227	Drosophila melanogaster	Invertebrates	Pan	PAN	Panx	37434	ncbigene_synonym	4	9	5
7227	Drosophila melanogaster	Invertebrates	PCP)	PCP	Pcp	33985	ncbigene_symbol	4	9	5
7227	Drosophila melanogaster	Invertebrates	DA	DA	da	34413	ncbigene_symbol	4	9	5
7227	Drosophila melanogaster	Invertebrates	DA	DA	nAChRalpha2	42919	ncbigene_synonym	4	9	5
