organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	YAP	YAP	YAP1	10413	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	TAZ	TAZ	TAFAZZIN	6901	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	TAZ	TAZ	WWTR1	25937	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	LolinkedtoYAP/TAZ	TAZ	TAFAZZIN	6901	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	LolinkedtoYAP/TAZ	TAZ	WWTR1	25937	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CA	5290	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CB	5291	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CD	5293	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CG	5294	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CA	5290	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CB	5291	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CD	5293	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3CG	5294	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3R3	8503	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3R4	30849	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3R5	23533	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3R6	146850	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3R1	5295	famplex_relations	20	25
9606	Homo sapiens	Primates	PI3K,	PI3K	PIK3R2	5296	famplex_relations	20	25
9606	Homo sapiens	Primates	TSC1	TSC1	TSC1	7248	ncbigene_symbol	20	25
9606	Homo sapiens	Primates	TSC1	TSC1	CCL26	10344	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	AKT1,	AKT1	AKT1	207	ncbigene_symbol	20	25
9606	Homo sapiens	Primates	PTEN,	PTEN	PTEN	5728	ncbigene_symbol	20	25
9606	Homo sapiens	Primates	PTEN,PI3K,AKT1,TSC1/2	PTEN	PTEN	5728	ncbigene_symbol	20	25
9606	Homo sapiens	Primates	BAG3	BAG3	BAG3	9531	ncbigene_symbol	20	25
9606	Homo sapiens	Primates	BAG3	BAG3	BAG3	9531	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD1	4086	famplex_relations	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD4	4089	famplex_relations	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD5	4090	famplex_relations	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD6	4091	famplex_relations	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD7	4092	famplex_relations	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD9	4093	famplex_relations	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD2	4087	famplex_relations	20	25
9606	Homo sapiens	Primates	Smads	SMAD	SMAD3	4088	famplex_relations	20	25
9606	Homo sapiens	Primates	MAP4KPMST1/2	MAP2	MAP2	4133	ncbigene_symbol	20	25
9606	Homo sapiens	Primates	MAP4KPMST1/2	MAP2	MAP2	4133	ncbigene_synonym	20	25
9606	Homo sapiens	Primates	MAP4KPMST1/2	MAP2	MASP2	10747	ncbigene_synonym	20	25
