organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	la	LA	La	35305	ncbigene_symbol	3	12
7227	Drosophila melanogaster	Invertebrates	A2	A2	Pen	34338	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A2	A2	alphaTub85E	41183	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A2	A2	Prosalpha2	41531	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A2	A2	nAChRalpha2	42919	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A1	A1	Col4a1	33727	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A1	A1	Ca-alpha1D	34950	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A1	A1	alphaTub84B	40848	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A1	A1	nAChRalpha1	42918	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A1	A1	wb	43946	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	A1	A1	Prosalpha1	45780	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	C22	C22	gkt	33530	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	e22	E22	l(2)E22	250454	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	a11	A11	gus	35478	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	Dl3	DL3	lectin-37Db	3346221	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	AçA	ACA	tRNA:Thr-TGT-1-1	3771902	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	AçA	ACA	tRNA:Thr-TGT-2-1	3771937	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	AçA	ACA	tRNA:Thr-TGT-2-2	3772144	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	AçA	ACA	tRNA:Thr-TGT-2-5	3772291	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	AçA	ACA	tRNA:Thr-TGT-2-4	19835230	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	AçA	ACA	tRNA:Thr-TGT-2-3	19836221	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	Er3	ER3	lncRNA:Hsromega	3772547	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	Art	ART	art	250198	ncbigene_symbol	3	12
7227	Drosophila melanogaster	Invertebrates	Art	ART	Dll	37973	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	DI2	DI2	I-2	39156	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	Aб	A6	a6	31127	ncbigene_symbol	3	12
7227	Drosophila melanogaster	Invertebrates	Aб	A6	nAChRalpha6	34304	ncbigene_synonym	3	12
7227	Drosophila melanogaster	Invertebrates	Aб	A6	Prosalpha6	34359	ncbigene_synonym	3	12
3702	Arabidopsis thaliana	Plants and Fungi	C2	C2	C2	821323	ncbigene_symbol	3	4
3702	Arabidopsis thaliana	Plants and Fungi	a11	A11	TT5	824678	ncbigene_synonym	3	4
3702	Arabidopsis thaliana	Plants and Fungi	Dl3	DL3	DL3	842251	ncbigene_symbol	3	4
3702	Arabidopsis thaliana	Plants and Fungi	Cr4	CR4	CR4	825111	ncbigene_symbol	3	4
