organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	ENT2	ENT2	Ent2	33921	ncbigene_symbol	3	5	6
7227	Drosophila melanogaster	Invertebrates	ADA	ADA	Ada	41092	ncbigene_symbol	3	5	6
7227	Drosophila melanogaster	Invertebrates	ADA	ADA	AP-2alpha	33211	ncbigene_synonym	3	5	6
7227	Drosophila melanogaster	Invertebrates	XOR	XOR	ry	41605	ncbigene_synonym	3	5	6
7227	Drosophila melanogaster	Invertebrates	AMP	AMP	Amph	36383	ncbigene_synonym	3	5	6
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	ATPsynbeta	43829	ncbigene_synonym	3	5	6
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	Atpalpha	48971	ncbigene_synonym	3	5	6
7227	Drosophila melanogaster	Invertebrates	ADP	ADP	adp	37073	ncbigene_symbol	3	5	6
9606	Homo sapiens	Primates	GLUT9	GLUT9	SLC2A6	11182	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	GLUT9	GLUT9	SLC2A9	56606	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	ENT2	ENT2	SLC29A2	3177	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADA	100	ncbigene_symbol	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADAD1	132612	famplex_relations	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADAD2	161931	famplex_relations	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADAR	103	famplex_relations	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADARB1	104	famplex_relations	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADARB2	105	famplex_relations	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADAT1	23536	famplex_relations	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADAT2	134637	famplex_relations	2	9	8
9606	Homo sapiens	Primates	ADA	ADA	ADAT3	113179	famplex_relations	2	9	8
9606	Homo sapiens	Primates	XOR	XOR	XDH	7498	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	PNP	PNP	PNP	4860	ncbigene_symbol	2	9	8
9606	Homo sapiens	Primates	PNP	PNP	PPY	5539	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	AMP	AMP	APRT	353	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	AMP	AMP	MFAP1	4236	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	2	9	8
9606	Homo sapiens	Primates	ADP	ADP	WDTC1	23038	ncbigene_synonym	2	9	8
