organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	ATF6	ATF6	Atf6	35480	ncbigene_symbol	4	6
7227	Drosophila melanogaster	Invertebrates	ATF6	ATF6	Atf6	35480	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	DGC	DGC	GC	38194	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	BiP	BIP	bip	249912	ncbigene_symbol	4	6
7227	Drosophila melanogaster	Invertebrates	BiP	BIP	Hsc70-3	32133	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	BiP	BIP	bip	249912	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Tg	TG	Tg	34093	ncbigene_symbol	4	6
7227	Drosophila melanogaster	Invertebrates	COP	COP	cop	45837	ncbigene_symbol	4	6
7227	Drosophila melanogaster	Invertebrates	COP	COP	Yif1	43217	ncbigene_synonym	4	6
7227	Drosophila melanogaster	Invertebrates	Integrins	INTEGRIN	scb	36692	ncbigene_synonym	4	6
9606	Homo sapiens	Primates	Thbs4	THBS4	THBS4	7060	ncbigene_symbol	3	9
9606	Homo sapiens	Primates	ATF6	ATF6	ATF6	22926	ncbigene_symbol	3	9
9606	Homo sapiens	Primates	DGC	DGC	DAG1	1605	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	DMD	1756	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	DTNA	1837	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	DTNB	1838	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	NOS1	4842	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SNTA1	6640	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SNTB1	6641	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SNTG1	54212	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SNTG2	54221	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SSPN	8082	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	UTRN	7402	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SGCA	6442	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SGCB	6443	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SGCD	6444	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SGCE	8910	famplex_relations	3	9
9606	Homo sapiens	Primates	DGC	DGC	SGCZ	137868	famplex_relations	3	9
9606	Homo sapiens	Primates	BiP	BIP	GDF10	2662	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	BiP	BIP	HSPA5	3309	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	Tg	TG	TG	7038	ncbigene_symbol	3	9
9606	Homo sapiens	Primates	ΑTF6α	TF6	TFG	10342	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	COP	COP	CARD16	114769	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA1	3672	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA10	8515	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA11	22801	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA2	3673	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA2B	3674	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA3	3675	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA4	3676	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA5	3678	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA6	3655	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA7	3679	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA8	8516	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGA9	3680	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGAD	3681	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGAE	3682	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGAL	3683	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGAM	3684	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGAV	3685	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGAX	3687	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGB1	3688	famplex_relations	3	9
9606	Homo sapiens	Primates	Integrins	INTEGRINS	ITGB2	3689	famplex_relations	3	9
