organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	FasL	FASL	FASLG	356	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	Fas	FAS	FAS	355	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Fas	FAS	FASN	2194	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	p53	P53	TP53	7157	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	p53	P53	TP53	7157	famplex_relations	10	11
9606	Homo sapiens	Primates	p53	P53	TP63	8626	famplex_relations	10	11
9606	Homo sapiens	Primates	p53	P53	TP73	7161	famplex_relations	10	11
9606	Homo sapiens	Primates	Diablo	DIABLO	DIABLO	56616	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Bax	BAX	BAX	581	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Bak	BAK	BAK1	578	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	Casp-8	CASP-8	CASP8	841	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	Apaf-1	APAF-1	APAF1	317	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	Casp-9	CASP9	CASP9	842	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Casp-3	CASP3	CASP3	836	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Fas,	FAS	FAS	355	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Fas,	FAS	FASN	2194	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	Fas,Bax,Apaf-1	BAX	BAX	581	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Fas,Bax,Apaf-1	APAF-1	APAF1	317	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	Fas,Bax,Apaf-1	FAS	FAS	355	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	Fas,Bax,Apaf-1	FAS	FASN	2194	ncbigene_synonym	10	11
9606	Homo sapiens	Primates	Bax,	BAX	BAX	581	ncbigene_symbol	10	11
9606	Homo sapiens	Primates	FADD	FADD	FADD	8772	ncbigene_symbol	10	11
