organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
6239	Caenorhabditis elegans	Invertebrates	DAF-9	DAF-9	daf-9	180889	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	INS-4	INS-4	ins-4	191685	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	INS-5	INS-5	ins-5	191686	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	INS-6	INS-6	ins-6	191687	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	INS-7	INS-7	ins-7	191688	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	DAF-16	DAF-16	daf-16	172981	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	DAF-5-	DAF5	daf-5	175054	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	DAF-12-?+	DAF12	daf-12	181263	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	DAF-3	DAF-3	daf-3	180431	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	DBL-1	DBL-1	dbl-1	179068	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	INS-18	INS-18	ins-18	172600	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	INS-33	INS-33	ins-33	189313	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	INS-35	INS-35	ins-35	180334	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	DAF-2	DAF-2	daf-2	175410	ncbigene_symbol	15	NA	15
6239	Caenorhabditis elegans	Invertebrates	CDK-4	CDK-4	cdk-4	181472	ncbigene_symbol	15	NA	15
7227	Drosophila melanogaster	Invertebrates	and	AND	CkIIbeta	32132	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	and	AND	Andorra	32798	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	and	AND	Anp	43595	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	and	AND	Acam	44913	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	Patched	PATCHED	ptc	35851	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	CDK-4	CDK4	Cdk4	36854	ncbigene_symbol	1	9	4
7227	Drosophila melanogaster	Invertebrates	TGFB	TGFB	dpp	33432	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	TGFB	TGFB	gbb	37778	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	TGFB	TGFB	put	41772	ncbigene_synonym	1	9	4
7227	Drosophila melanogaster	Invertebrates	TGFB	TGFB	mav	43804	ncbigene_synonym	1	9	4
