organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	HGF	HGF	HGF	3082	ncbigene_symbol	7	12	18
9606	Homo sapiens	Primates	HGF	HGF	IL6	3569	ncbigene_synonym	7	12	18
9606	Homo sapiens	Primates	HGF	HGF	SOS1	6654	ncbigene_synonym	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF1	2246	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF2	2247	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF3	2248	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF4	2249	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF5	2250	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF6	2251	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF7	2252	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF8	2253	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF9	2254	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF10	2255	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF11	2256	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF12	2257	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF13	2258	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF14	2259	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF16	8823	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF17	8822	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF18	8817	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF19	9965	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF20	26281	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF21	26291	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF22	27006	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	FGF	FGF23	8074	famplex_relations	7	12	18
9606	Homo sapiens	Primates	EGF,FGF,HGF	EGF	EGF	1950	ncbigene_symbol	7	12	18
9606	Homo sapiens	Primates	E-cadherin<	CDH1	CDH1	999	ncbigene_symbol	7	12	18
9606	Homo sapiens	Primates	E-cadherin<	CDH1	FZR1	51343	ncbigene_synonym	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH10	1008	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH11	1009	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH12	1010	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH13	1012	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH15	1013	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH16	1014	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH17	1015	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH18	1016	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH19	28513	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH2	1000	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH20	28316	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH22	64405	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH24	64403	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH3	1001	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH4	1002	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH5	1003	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH6	1004	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH7	1005	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH8	1006	famplex_relations	7	12	18
9606	Homo sapiens	Primates	cadherin<	CADHERIN	CDH9	1007	famplex_relations	7	12	18
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	ncbigene_synonym	7	12	18
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB2	7042	famplex_relations	7	12	18
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB3	7043	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT1	7471	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT2	7472	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT2B	7482	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT3	7473	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT3A	89780	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT4	54361	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT6	7475	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT7A	7476	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT7B	7477	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT8A	7478	famplex_relations	7	12	18
9606	Homo sapiens	Primates	WNT	WNT	WNT8B	7479	famplex_relations	7	12	18
