word	mesh	match	name	chebi
S-sulfocysteine	mesh:C011119	NA	NA	NA
Adenosine	mesh:D000241	Adenosine	adenosine	chebi:16335
Aldehyde	mesh:D000447	Aldehydes	aldehyde	chebi:17478
Cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
Guanine	mesh:D006147	Guanine	guanine	chebi:16235
Guanosine	mesh:D006151	Guanosine	guanosine	chebi:16750
Inosine	mesh:D007288	Inosine	inosine	chebi:17596
Uric acid	mesh:D014527	NA	NA	NA
Hypoxanthine	mesh:D019271	Hypoxanthine	hypoxanthine	chebi:17368
Xanthine	mesh:D019820	NA	NA	NA
