organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7955	Danio rerio	Vertebrates	Th2	TH2	th2	414844	ncbigene_symbol	5	5
7955	Danio rerio	Vertebrates	IL-4,	IL-4	il13	794053	ncbigene_synonym	5	5
7955	Danio rerio	Vertebrates	IL-4,	IL-4	il4	100188894	ncbigene_synonym	5	5
7955	Danio rerio	Vertebrates	IL13	IL13	il13	794053	ncbigene_symbol	5	5
7955	Danio rerio	Vertebrates	IL13	IL13	il13	794053	ncbigene_synonym	5	5
7955	Danio rerio	Vertebrates	IL-4,IL13	IL13	il13	794053	ncbigene_symbol	5	5
7955	Danio rerio	Vertebrates	IL-4,IL13	IL13	il13	794053	ncbigene_synonym	5	5
7955	Danio rerio	Vertebrates	IL-4,IL13	IL-4	il13	794053	ncbigene_synonym	5	5
7955	Danio rerio	Vertebrates	IL-4,IL13	IL-4	il4	100188894	ncbigene_synonym	5	5
7955	Danio rerio	Vertebrates	IFNY	IFNG	ifng1	405790	ncbigene_synonym	5	5
7955	Danio rerio	Vertebrates	IL-10,	IL10	il10	553957	ncbigene_symbol	5	5
7955	Danio rerio	Vertebrates	IL-10,TGF-B	IL10	il10	553957	ncbigene_symbol	5	5
9606	Homo sapiens	Primates	IL-4,	IL-4	IL4	3565	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IL13	IL13	IL13	3596	ncbigene_symbol	3	9
9606	Homo sapiens	Primates	IL13	IL13	IL13	3596	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IL-4,IL13	IL13	IL13	3596	ncbigene_symbol	3	9
9606	Homo sapiens	Primates	IL-4,IL13	IL13	IL13	3596	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IL-4,IL13	IL-4	IL4	3565	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IgE	IGE	IGHE	3497	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IFNY	IFNG	IFNG	3458	ncbigene_symbol	3	9
9606	Homo sapiens	Primates	Th1	TH1	NELFCD	51497	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IL-10,	IL-10	IL10	3586	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	famplex_relations	3	9
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB2	7042	famplex_relations	3	9
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB3	7043	famplex_relations	3	9
9606	Homo sapiens	Primates	IL-10,TGF-B	IL-10	IL10	3586	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IgG,IgA	IGA	CD79A	973	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	IgA	IGA	CD79A	973	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	Mast	MAST	SPACA9	11092	ncbigene_synonym	3	9
9606	Homo sapiens	Primates	Mast	MAST	SPG21	51324	ncbigene_synonym	3	9
