organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	TSPO	TSPO	TSPO	706	ncbigene_symbol	4	4	8
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	4	4	8
9606	Homo sapiens	Primates	REV-ERBA	REVERBA	NR1D1	9572	ncbigene_synonym	4	4	8
9606	Homo sapiens	Primates	Gópc	GOPC	GOPC	57120	ncbigene_symbol	4	4	8
9606	Homo sapiens	Primates	Pck1	PCK1	PCK1	5105	ncbigene_symbol	4	4	8
9606	Homo sapiens	Primates	Pgc1a	PGC1A	PPARGC1A	10891	ncbigene_synonym	4	4	8
9606	Homo sapiens	Primates	Alas1	ALAS1	ALAS1	211	ncbigene_symbol	4	4	8
9606	Homo sapiens	Primates	G6pc	G6PC	G6PC1	2538	ncbigene_synonym	4	4	8
7955	Danio rerio	Vertebrates	TSPO	TSPO	tspo	450011	ncbigene_symbol	4	2	6
7955	Danio rerio	Vertebrates	Gópc	GOPC	gopc	326887	ncbigene_symbol	4	2	6
7955	Danio rerio	Vertebrates	Pck1	PCK1	pck1	378727	ncbigene_symbol	4	2	6
7955	Danio rerio	Vertebrates	Pgc1a	PGC1A	ppargc1a	553418	ncbigene_synonym	4	2	6
7955	Danio rerio	Vertebrates	Alas1	ALAS1	alas1	64608	ncbigene_symbol	4	2	6
7955	Danio rerio	Vertebrates	G6pc	G6PC	g6pc1a.1	445118	ncbigene_synonym	4	2	6
10090	Mus musculus	Rodents	TSPO	TSPO	Tspo	12257	ncbigene_symbol	4	2	6
10090	Mus musculus	Rodents	Gópc	GOPC	Gopc	94221	ncbigene_symbol	4	2	6
10090	Mus musculus	Rodents	Pck1	PCK1	Pck1	18534	ncbigene_symbol	4	2	6
10090	Mus musculus	Rodents	Pgc1a	PGC1A	Ppargc1a	19017	ncbigene_synonym	4	2	6
10090	Mus musculus	Rodents	Alas1	ALAS1	Alas1	11655	ncbigene_symbol	4	2	6
10090	Mus musculus	Rodents	G6pc	G6PC	G6pc1	14377	ncbigene_synonym	4	2	6
3702	Arabidopsis thaliana	Plants and Fungi	hemel	HEME1	HEME1	820722	ncbigene_symbol	3	1	3
3702	Arabidopsis thaliana	Plants and Fungi	TSPO	TSPO	TSPO	819389	ncbigene_symbol	3	1	3
3702	Arabidopsis thaliana	Plants and Fungi	Pck1	PCK1	PCK1	829943	ncbigene_symbol	3	1	3
3702	Arabidopsis thaliana	Plants and Fungi	Pck1	PCK1	ASL5	817565	ncbigene_synonym	3	1	3
