organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	НК	HK	Hk	31955	ncbigene_symbol	5	10	10
7227	Drosophila melanogaster	Invertebrates	GLS	GLS	GLS	36396	ncbigene_symbol	5	10	10
7227	Drosophila melanogaster	Invertebrates	LDH	LDH	Ldh	45880	ncbigene_symbol	5	10	10
7227	Drosophila melanogaster	Invertebrates	PDH	PDH	Pdh	39812	ncbigene_symbol	5	10	10
7227	Drosophila melanogaster	Invertebrates	PDH	PDH	Pdha	31406	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	PDH	PDH	Pdf	43193	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	PDH	PDH	Pdhb	43437	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	MNSOD	MNSOD	Sod2	36878	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	cycle	CYCLE	CycE	34924	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	cycle	CYCLE	cyc	40162	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	ADP	ADP	adp	37073	ncbigene_symbol	5	10	10
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	ATPsynbeta	43829	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	Atpalpha	48971	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	CPT1	CPT1	whd	36109	ncbigene_synonym	5	10	10
7227	Drosophila melanogaster	Invertebrates	ACL	ACL	ATPCL	36760	ncbigene_synonym	5	10	10
9606	Homo sapiens	Primates	NADPH	NADPH	DECR1	1666	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	GLS	GLS	GLS	2744	ncbigene_symbol	1	10	9
9606	Homo sapiens	Primates	GLS	GLS	GLS2	27165	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	LDH	LDH	LDHA	3939	famplex_relations	1	10	9
9606	Homo sapiens	Primates	LDH	LDH	LDHB	3945	famplex_relations	1	10	9
9606	Homo sapiens	Primates	LDH	LDH	LDHC	3948	famplex_relations	1	10	9
9606	Homo sapiens	Primates	PDH	PDH	PDP1	54704	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	PDH	PDH	DLAT	1737	famplex_relations	1	10	9
9606	Homo sapiens	Primates	PDH	PDH	DLD	1738	famplex_relations	1	10	9
9606	Homo sapiens	Primates	PDH	PDH	PDHA1	5160	famplex_relations	1	10	9
9606	Homo sapiens	Primates	PDH	PDH	PDHA2	5161	famplex_relations	1	10	9
9606	Homo sapiens	Primates	PDH	PDH	PDHB	5162	famplex_relations	1	10	9
9606	Homo sapiens	Primates	PDH	PDH	PDHX	8050	famplex_relations	1	10	9
9606	Homo sapiens	Primates	MNSOD	MNSOD	SOD2	6648	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	ADP	ADP	WDTC1	23038	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	CPT1	CPT1	CPT1A	1374	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	CPT1	CPT1	CPT2	1376	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	CPT1	CPT1	CHPT1	56994	ncbigene_synonym	1	10	9
9606	Homo sapiens	Primates	ACL	ACL	ACLY	47	ncbigene_synonym	1	10	9
