organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9913	Bos taurus	Mammals	LEPR	LEPR	LEPR	497205	ncbigene_symbol	6	2	7
9913	Bos taurus	Mammals	HN1L	HN1L	JPT2	618512	ncbigene_synonym	6	2	7
9913	Bos taurus	Mammals	FGFR2	FGFR2	FGFR2	404193	ncbigene_symbol	6	2	7
9913	Bos taurus	Mammals	miR-150	MIR150	MIR150	791057	ncbigene_symbol	6	2	7
9913	Bos taurus	Mammals	STAT3	STAT3	STAT3	508541	ncbigene_symbol	6	2	7
9913	Bos taurus	Mammals	Sox2	SOX2	SOX2	784383	ncbigene_symbol	6	2	7
9913	Bos taurus	Mammals	sox9	SOX9	SOX9	100336535	ncbigene_symbol	6	2	7
9913	Bos taurus	Mammals	sox9	SOX9	SOX10	353115	ncbigene_synonym	6	2	7
9606	Homo sapiens	Primates	LEPR	LEPR	LEPR	3953	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	LEPR	LEPR	LEPROT	54741	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	HN1L	HN1L	CRAMP1	57585	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	HN1L	HN1L	JPT2	90861	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	FGFR2	FGFR2	FGFR2	2263	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	miR-150	MIR-150	MIR150	406942	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	STAT3	STAT3	STAT3	6774	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	Sox2	SOX2	SOX2	6657	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	sox9	SOX9	SOX9	6662	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	TWIST	TWIST	TWIST1	7291	ncbigene_synonym	5	5	8
10090	Mus musculus	Rodents	LEPR	LEPR	Lepr	16847	ncbigene_symbol	5	4	8
10090	Mus musculus	Rodents	LEPR	LEPR	Leprot	230514	ncbigene_synonym	5	4	8
10090	Mus musculus	Rodents	HN1L	HN1L	Jpt2	52009	ncbigene_synonym	5	4	8
10090	Mus musculus	Rodents	FGFR2	FGFR2	Fgfr2	14183	ncbigene_symbol	5	4	8
10090	Mus musculus	Rodents	miR-150	MIR-150	Mir150	387168	ncbigene_synonym	5	4	8
10090	Mus musculus	Rodents	STAT3	STAT3	Stat3	20848	ncbigene_symbol	5	4	8
10090	Mus musculus	Rodents	Sox2	SOX2	Sox2	20674	ncbigene_symbol	5	4	8
10090	Mus musculus	Rodents	sox9	SOX9	Sox9	20682	ncbigene_symbol	5	4	8
10090	Mus musculus	Rodents	TWIST	TWIST	Twist1	22160	ncbigene_synonym	5	4	8
7955	Danio rerio	Vertebrates	LEPR	LEPR	lepr	567241	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	HN1L	HN1L	jpt2	321880	ncbigene_synonym	5	1	6
7955	Danio rerio	Vertebrates	FGFR2	FGFR2	fgfr2	352940	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	miR-150	MIR150	mir150	100033674	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	STAT3	STAT3	stat3	30767	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	Sox2	SOX2	sox2	378723	ncbigene_symbol	5	1	6
