word	mesh	match	name	chebi
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose 6-phosphate	mesh:D019298	NA	NA	NA
Fructose 6-phosphate	mesh:C027618	NA	NA	NA
Fructose 1,6-bisphosphate	mesh:C029063	keto-D-fructose 1,6-bisphosphate	fructose-1,6-diphosphate	chebi:16905
Glyceroaldehyde	NA	NA	NA	NA
3-phosphate	mesh:D010710	NA	NA	NA
Dihydroxyacetone	mesh:D004098	Dihydroxyacetone	dihydroxyacetone	chebi:16016
phosphate	mesh:D010710	NA	NA	NA
DHAP	mesh:C017202	NA	NA	NA
Fatty acyl CoA	mesh:D000214	NA	NA	NA
acyl	mesh:D000214	NA	NA	NA
1,3-Bisphosphoglycerate	mesh:C015891	NA	NA	NA
1-Alkyldihydroxyacetone-3	mesh:C401229	NA	NA	NA
alcohol	mesh:D000431	Ethanol	ethanol	chebi:16236
3-Phosphoglycerate	mesh:C005156	NA	NA	NA
Alkylglycerone phosphate	mesh:D010710	NA	NA	NA
Fatty acid	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
2-Phosphoglycerate	mesh:C008885	NA	NA	NA
Phosphoenoylpyruvate	NA	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
glucose-6-phosphate	mesh:D019298	NA	NA	NA
fructose-bisphosphate	mesh:C027652	NA	NA	NA
148224276 triosephosphate	NA	NA	NA	NA
glyceraldehyde-3-phosphate	mesh:D005986	Glyceraldehyde 3-Phosphate	glyceraldehyde 3-phosphate	chebi:17138
pyruvate	mesh:D011773	NA	NA	NA
dihydroxyacetone phosphate	mesh:D004099	dihydroxyacetone phosphate	Dihydroxyacetone Phosphate	chebi:16108
300807169 fatty acyl	mesh:D000214	NA	NA	NA
alkyldihydroxyacetonephosphate	NA	NA	NA	NA
