organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	Sharpin	SHARPIN	SHARPIN	81858	ncbigene_symbol	4	10
9606	Homo sapiens	Primates	HOIP	HOIP	RNF31	55072	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	IKKY	IKKG	IKBKG	8517	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	IKKB	IKKB	IKBKB	3551	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	IKKa	IKKA	CHUK	1147	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	OTULIN	OTULIN	OTULIN	90268	ncbigene_symbol	4	10
9606	Homo sapiens	Primates	IKBa	IKBA	NFKBIA	4792	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	NF-KB	NF-KB	NFKB1	4790	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p65	P65	RELA	5970	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p65	P65	SYT1	6857	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p65	P65	GORASP1	64689	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p65	P65	WNK1	65125	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p50	P50	CD40	958	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p50	P50	ARHGEF7	8874	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p50	P50	ASCC1	51008	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	p50	P50	H3P40	115482723	ncbigene_synonym	4	10
9606	Homo sapiens	Primates	HOIP.	HOIP	RNF31	55072	ncbigene_synonym	4	10
10090	Mus musculus	Rodents	Sharpin	SHARPIN	Sharpin	106025	ncbigene_symbol	4	8
10090	Mus musculus	Rodents	HOIP	HOIP	Rnf31	268749	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	IKKB	IKKB	Ikbkb	16150	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	IKKa	IKKA	Chuk	12675	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	OTULIN	OTULIN	Otulin	432940	ncbigene_symbol	4	8
10090	Mus musculus	Rodents	NF-KB	NF-KB	Nfkb1	18033	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p65	P65	Rela	19697	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p65	P65	Gorasp1	74498	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p50	P50	Cdc37	12539	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p50	P50	Lsp1	16985	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p50	P50	Nfkb1	18033	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p50	P50	Pold2	18972	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p50	P50	Cd40	21939	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	p50	P50	Dctn2	69654	ncbigene_synonym	4	8
10090	Mus musculus	Rodents	HOIP.	HOIP	Rnf31	268749	ncbigene_synonym	4	8
10116	Rattus norvegicus	Rodents	Sharpin	SHARPIN	Sharpin	81859	ncbigene_symbol	4	5
10116	Rattus norvegicus	Rodents	IKKa	IKKA	Chuk	309361	ncbigene_synonym	4	5
10116	Rattus norvegicus	Rodents	OTULIN	OTULIN	Otulin	100362554	ncbigene_symbol	4	5
10116	Rattus norvegicus	Rodents	NF-KB	NF-KB	Nfkb1	81736	ncbigene_synonym	4	5
10116	Rattus norvegicus	Rodents	p65	P65	Syt1	25716	ncbigene_synonym	4	5
