organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	Pi	PI	pi	5656965	ncbigene_symbol	4	5	5
7227	Drosophila melanogaster	Invertebrates	ADP+	ADP	adp	37073	ncbigene_symbol	4	5	5
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	ATPsynbeta	43829	ncbigene_synonym	4	5	5
7227	Drosophila melanogaster	Invertebrates	ATP	ATP	Atpalpha	48971	ncbigene_synonym	4	5	5
7227	Drosophila melanogaster	Invertebrates	SAM,	SAM	sam	44534	ncbigene_symbol	4	5	5
7227	Drosophila melanogaster	Invertebrates	SAM,	SAM	qkr54B	36966	ncbigene_synonym	4	5	5
7227	Drosophila melanogaster	Invertebrates	SAM,	SAM	sls	44013	ncbigene_synonym	4	5	5
7227	Drosophila melanogaster	Invertebrates	SAM,	SAM	Sam-S	48552	ncbigene_synonym	4	5	5
7227	Drosophila melanogaster	Invertebrates	SAH	SAH	sah	5658327	ncbigene_symbol	4	5	5
9606	Homo sapiens	Primates	ADP+	ADP	WDTC1	23038	ncbigene_synonym	NA	5	5
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	NA	5	5
9606	Homo sapiens	Primates	CHH,FGlu,	CHH	RMRP	6023	ncbigene_synonym	NA	5	5
9606	Homo sapiens	Primates	NADPH	NADPH	DECR1	1666	ncbigene_synonym	NA	5	5
9606	Homo sapiens	Primates	SAH	SAH	ACSM3	6296	ncbigene_synonym	NA	5	5
