organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7955	Danio rerio	Vertebrates	Eed	EED	eed	550463	ncbigene_symbol	4	3	6
7955	Danio rerio	Vertebrates	Suz12	SUZ12	suz12b	561871	ncbigene_synonym	4	3	6
7955	Danio rerio	Vertebrates	Suz12	SUZ12	suz12a	794171	ncbigene_synonym	4	3	6
7955	Danio rerio	Vertebrates	Socs3	SOCS3	socs3a	335409	ncbigene_synonym	4	3	6
7955	Danio rerio	Vertebrates	Ezh2	EZH2	ezh2	768133	ncbigene_symbol	4	3	6
7955	Danio rerio	Vertebrates	МyD88	MYD88	myd88	403145	ncbigene_symbol	4	3	6
7955	Danio rerio	Vertebrates	Traf6	TRAF6	traf6	554561	ncbigene_symbol	4	3	6
9606	Homo sapiens	Primates	PRC2complex	PRC2COMPLEX	EED	8726	famplex_relations	3	1	6
9606	Homo sapiens	Primates	PRC2complex	PRC2COMPLEX	EZH1	2145	famplex_relations	3	1	6
9606	Homo sapiens	Primates	PRC2complex	PRC2COMPLEX	EZH2	2146	famplex_relations	3	1	6
9606	Homo sapiens	Primates	PRC2complex	PRC2COMPLEX	SUZ12	23512	famplex_relations	3	1	6
9606	Homo sapiens	Primates	Socs3	SOCS3	SOCS3	9021	ncbigene_symbol	3	1	6
9606	Homo sapiens	Primates	МyD88	MYD88	MYD88	4615	ncbigene_symbol	3	1	6
9606	Homo sapiens	Primates	Traf6	TRAF6	TRAF6	7189	ncbigene_symbol	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR1	7096	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR2	7097	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR3	7098	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR4	7099	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR5	7100	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR6	10333	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR7	51284	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR8	51311	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR9	54106	famplex_relations	3	1	6
9606	Homo sapiens	Primates	TLR	TLR	TLR10	81793	famplex_relations	3	1	6
9606	Homo sapiens	Primates	NFKB	NFKB	NFKB1	4790	ncbigene_synonym	3	1	6
9606	Homo sapiens	Primates	NFKB	NFKB	RELA	5970	famplex_relations	3	1	6
9606	Homo sapiens	Primates	NFKB	NFKB	RELB	5971	famplex_relations	3	1	6
9606	Homo sapiens	Primates	NFKB	NFKB	REL	5966	famplex_relations	3	1	6
9606	Homo sapiens	Primates	NFKB	NFKB	NFKB2	4791	famplex_relations	3	1	6
