word	source	identifier
Caffeoyl-CoA	MESH	C058645
Quinate	MESH	D011801
Phe	MESH	C026650
p-coumaryl-CoA	MESH	C495469
Caffeate	MESH	C042405
Caffeoyl quinate	MESH	C478100
CHI	MESH	C084533
Dicaffeoyl quinate	MESH	D011801
Malonyl CoAAcetyl CoA	MESH	D008316
Naringenin chalcone Eriodictyol	MESH	C027329
Luteolin	MESH	D047311
Naringenin	MESH	C005273
Apigenin	MESH	D047310
Dihydrokaempferol	MESH	C080220
Flavonols	MESH	D044948
Dihydroquercetin	MESH	C003377
Leucocyanidin	MESH	C001532
Cyanidin	MESH	C017154
Quercetin malonylglucoside	MESH	C500753
