organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	ACAT	ACAT	ACAT1	38	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	ACAT	ACAT	CES1	1066	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	ACAT	ACAT	SOAT1	6646	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	HMGR	HMGR	HMGA1	3159	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	MVK	MVK	MVK	4598	ncbigene_symbol	3	10	9
9606	Homo sapiens	Primates	MVP	MVP	MVP	9961	ncbigene_symbol	3	10	9
9606	Homo sapiens	Primates	MVP	MVP	MMVP1	50951	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	PMD	PMD	PLP1	5354	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	IPP	IPP	IPP	3652	ncbigene_symbol	3	10	9
9606	Homo sapiens	Primates	FPS	FPS	FDPS	2224	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	FPS	FPS	FES	2242	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	FPP	FPP	MSX2	4488	ncbigene_synonym	3	10	9
9606	Homo sapiens	Primates	asd	ASD	ARSD	414	ncbigene_synonym	3	10	9
7227	Drosophila melanogaster	Invertebrates	ACAT	ACAT	alpha-Cat	40517	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	ACAT	ACAT	Acat2	38147	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	ACAT	ACAT	CG8112	41033	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	HMGS	HMGS	Hmgs	44154	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	HMGR	HMGR	Hmgcr	42803	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	MVK	MVK	Mvk	3772247	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	Ipp	41701	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	CG9784	32629	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	CG9426	34719	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	CG6805	36911	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	Synj	37517	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	INPP5E	39404	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	5PtaseI	326119	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	FPS	FPS	Fpps	36209	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	FPS	FPS	FER	41118	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	CONC	CONC	cta	3355131	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	DH1	DH1	mirr	39441	ncbigene_synonym	10	13	14
7227	Drosophila melanogaster	Invertebrates	Ts	TS	Ts	33499	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	ov	OV	ov	252308	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	Dlv	DLV	dlv	248358	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	Ca	CA	ca	43518	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	Sm	SM	sm	37254	ncbigene_symbol	10	13	14
7227	Drosophila melanogaster	Invertebrates	Pe	PE	pe	252319	ncbigene_symbol	10	13	14
