organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
6239	Caenorhabditis elegans	Invertebrates	UNC-57	UNC-57	unc-57	172078	ncbigene_symbol	4	NA	4
6239	Caenorhabditis elegans	Invertebrates	UNC-26	UNC-26	unc-26	178284	ncbigene_symbol	4	NA	4
6239	Caenorhabditis elegans	Invertebrates	CHC-1	CHC-1	chc-1	176434	ncbigene_symbol	4	NA	4
6239	Caenorhabditis elegans	Invertebrates	DYN-1	DYN-1	dyn-1	181644	ncbigene_symbol	4	NA	4
9606	Homo sapiens	Primates	Clathrin	CLATHRIN	CLTA	1211	famplex_relations	NA	6	5
9606	Homo sapiens	Primates	Clathrin	CLATHRIN	CLTB	1212	famplex_relations	NA	6	5
9606	Homo sapiens	Primates	Clathrin	CLATHRIN	CLTC	1213	famplex_relations	NA	6	5
9606	Homo sapiens	Primates	CHC-1	CHC1	RCC1	1104	ncbigene_synonym	NA	6	5
9606	Homo sapiens	Primates	ERP-1	ERP1	ZNF471	57573	ncbigene_synonym	NA	6	5
9606	Homo sapiens	Primates	ERP-1	ERP1	FBXO43	286151	ncbigene_synonym	NA	6	5
9606	Homo sapiens	Primates	endo-	ENDO	MANEA	79694	ncbigene_synonym	NA	6	5
9606	Homo sapiens	Primates	RRP	RRP	RRBP1	6238	ncbigene_synonym	NA	6	5
9606	Homo sapiens	Primates	RRP	RRP	RHBDL1	9028	ncbigene_synonym	NA	6	5
