organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	RER	RER	RER	107966124	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	RER	RER	IK	3550	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	STX3	STX3	STX3	6809	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	STX19	STX19	STX19	415117	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	PLD1	PLD1	PLD1	5337	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	PLD1	PLD1	PRKCSH	5589	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	CLIC	CLIC	CLIC1	1192	famplex_relations	66	45
9606	Homo sapiens	Primates	CLIC	CLIC	CLIC2	1193	famplex_relations	66	45
9606	Homo sapiens	Primates	CLIC	CLIC	CLIC3	9022	famplex_relations	66	45
9606	Homo sapiens	Primates	CLIC	CLIC	CLIC4	25932	famplex_relations	66	45
9606	Homo sapiens	Primates	CLIC	CLIC	CLIC5	53405	famplex_relations	66	45
9606	Homo sapiens	Primates	CLIC	CLIC	CLIC6	54102	famplex_relations	66	45
9606	Homo sapiens	Primates	SNARE	SNARE	SNAR-E	100170220	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	CDC27	CDC27	CDC27	996	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	CÜL3	CUL3	CUL3	8452	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	CÜL3	CUL3	CUL3	8452	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	SNAP23	SNAP23	SNAP23	8773	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	SNAP23	SNAP23	SNAP23	8773	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	TGFBRI	TGFBR1	TGFBR1	7046	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	PML	PML	PML	5371	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	WWP2	WWP2	WWP2	11060	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	CAVI	CAVI	CA6	765	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	USE1	USE1	USE1	55850	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	USE1	USE1	UBE2Z	65264	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	VAMPA	VAMPA	VAPA	9218	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	PRPF19	PRPF19	PRPF19	27339	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	TFRC	TFRC	TFRC	7037	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	VAMP7	VAMP7	VAMP7	6845	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	VAMP7	VAMP7	VAMP7	6845	ncbigene_synonym	66	45
9606	Homo sapiens	Primates	VAMP3	VAMP3	VAMP3	9341	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	VPS37A	VPS37A	VPS37A	137492	ncbigene_symbol	66	45
9606	Homo sapiens	Primates	CHMP2A	CHMP2A	CHMP2A	27243	ncbigene_symbol	66	45
