organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
10090	Mus musculus	Rodents	Nat	NAT	Brd2	14312	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	Nat	NAT	Scn11a	24046	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	ATPase	ATPASE	Dnah8	13417	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	CD36	CD36	Cd36	12491	ncbigene_symbol	9	16
10090	Mus musculus	Rodents	CD36	CD36	Scarb1	20778	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	GLUT4	GLUT4	Slc2a4	20528	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	GLUT1	GLUT1	Slc1a3	20512	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	GLUT1	GLUT1	Slc2a1	20525	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	TAG	TAG	Tag	107423	ncbigene_symbol	9	16
10090	Mus musculus	Rodents	ADP	ADP	Wdtc1	230796	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	ADP	ADP	Mdga2	320772	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	CoA	COA	Hps3	12807	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	Na*/K*/CNa*/HCO,	CNA	Ppp3ca	19055	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	Na*/Ca?*	NACA	Naca	17938	ncbigene_symbol	9	16
10090	Mus musculus	Rodents	CPTI	CPTI	Cpt1a	12894	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	CPTI	CPTI	Cpt1b	12895	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	MCU	MCU	Mcu	215999	ncbigene_symbol	9	16
10090	Mus musculus	Rodents	CACT	CACT	Slc25a20	57279	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	FAD.	FAD	Fancd2	211651	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	Na*/Ca?	NACA	Naca	17938	ncbigene_symbol	9	16
10090	Mus musculus	Rodents	CPTII	CPTII	Cpt2	12896	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	САСT	CACT	Slc25a20	57279	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	COA	COA	Hps3	12807	ncbigene_synonym	9	16
10090	Mus musculus	Rodents	АТР	TP	tp	21978	ncbigene_symbol	9	16
9031	Gallus gallus	Vertebrates	Nat	NAT	NAT	396537	ncbigene_symbol	8	7
9031	Gallus gallus	Vertebrates	CD36	CD36	CD36	417730	ncbigene_symbol	8	7
9031	Gallus gallus	Vertebrates	GLUT1	GLUT1	SLC2A1	396130	ncbigene_synonym	8	7
9031	Gallus gallus	Vertebrates	PPP	PPP	PPY	395564	ncbigene_synonym	8	7
9031	Gallus gallus	Vertebrates	+PPP	PPP	PPY	395564	ncbigene_synonym	8	7
9031	Gallus gallus	Vertebrates	Na*/Ca?*	NACA	NACA	396544	ncbigene_symbol	8	7
9031	Gallus gallus	Vertebrates	MCU	MCU	MCU	428942	ncbigene_symbol	8	7
9031	Gallus gallus	Vertebrates	Na*/Ca?	NACA	NACA	396544	ncbigene_symbol	8	7
9031	Gallus gallus	Vertebrates	CPTII	CPT2	CPT2	424649	ncbigene_symbol	8	7
9606	Homo sapiens	Primates	Nat	NAT	BRD2	6046	ncbigene_synonym	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1A1	476	famplex_relations	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1A2	477	famplex_relations	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1A3	478	famplex_relations	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1A4	480	famplex_relations	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1B1	481	famplex_relations	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1B2	482	famplex_relations	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1B3	483	famplex_relations	7	21
9606	Homo sapiens	Primates	Na*/K*ATPase	NAKATPASE	ATP1B4	23439	famplex_relations	7	21
9606	Homo sapiens	Primates	ATPase	ATPASE	DNAH8	1769	ncbigene_synonym	7	21
9606	Homo sapiens	Primates	CD36	CD36	CD36	948	ncbigene_symbol	7	21
9606	Homo sapiens	Primates	GLUT4	GLUT4	SLC2A4	6517	ncbigene_synonym	7	21
9606	Homo sapiens	Primates	GLUT1	GLUT1	SLC2A1	6513	ncbigene_synonym	7	21
9606	Homo sapiens	Primates	ATP	ATP	ATP8A2	51761	ncbigene_synonym	7	21
9606	Homo sapiens	Primates	TAG	TAG	TMED7	51014	ncbigene_synonym	7	21
9606	Homo sapiens	Primates	TAG	TAG	LINC01194	404663	ncbigene_synonym	7	21
9606	Homo sapiens	Primates	ADP	ADP	WDTC1	23038	ncbigene_synonym	7	21
