word	source	identifier
Glucose	MESH	D005947
ATP	MESH	D000255
ADP	MESH	D000244
Monosaccharides	MESH	D009005
Ribose-5-P	MESH	D012266
Ribose	MESH	D012266
Glc-6-P	MESH	C089452
Succinate	MESH	D013386
Sucrose	MESH	D013395
NAD	MESH	D009243
Man-6-P	MESH	C472424
NADH	MESH	D009243
Fumarate	MESH	D005650
methyl-glyoxal	MESH	D006037
DHAP	MESH	C017202
Oxalacetate		
Glycerol-3-P	MESH	D005990
Pyruvate	MESH	D011773
3-PGA	MESH	D011454
AMP	MESH	D000249
Glycerol	MESH	D005990
Acetaldehyde	MESH	D000079
Ethanol	MESH	D000431
GDP	MESH	D006153
Glutamate		
NADPH	MESH	D009249
2-Ketoglutarate	MESH	C029743
NADP	MESH	D009249
Alanine	MESH	D000409
Aspartate		
Acetyl-CoA	MESH	D000105
Acetate	MESH	D000085
PPi	MESH	C116317
Fatty acids	MESH	D005227
Citrate	MESH	C102006
Isocitrate	MESH	D007523
Amino	MESH	D000596
