organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	Pvr-	PVR	Pvr	34127	ncbigene_symbol	7	3	9
7227	Drosophila melanogaster	Invertebrates	STAT	STAT	Stat92E	42428	ncbigene_synonym	7	3	9
7227	Drosophila melanogaster	Invertebrates	AdoR	ADOR	AdoR	43583	ncbigene_symbol	7	3	9
7227	Drosophila melanogaster	Invertebrates	Adgf-A	ADGF-A	Adgf-A	39976	ncbigene_symbol	7	3	9
7227	Drosophila melanogaster	Invertebrates	Dpp	DPP	dpp	33432	ncbigene_symbol	7	3	9
7227	Drosophila melanogaster	Invertebrates	Dpp	DPP	DppIII	40996	ncbigene_synonym	7	3	9
7227	Drosophila melanogaster	Invertebrates	РКАН	PAH	Hn	38871	ncbigene_synonym	7	3	9
7227	Drosophila melanogaster	Invertebrates	-Ci	CI	ci	43767	ncbigene_symbol	7	3	9
7227	Drosophila melanogaster	Invertebrates	Pvf1	PVF1	Pvf1	32876	ncbigene_symbol	7	3	9
7227	Drosophila melanogaster	Invertebrates	Hh	HH	hh	42737	ncbigene_symbol	7	3	9
