word	mesh	match	name	chebi
Fructose-6P	mesh:D005632	Fructose	fructose	chebi:28757
Mannose	mesh:D008358	Mannose	D-mannopyranose	chebi:4208
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
GDP-Mannose	mesh:D006155	Guanosine Diphosphate Mannose	GDP-alpha-D-mannose	chebi:15820
Inositol-1-P	mesh:D007294	Inositol	myo-inositol	chebi:17268
GDP-L-Galactose	mesh:D006153	Guanosine Diphosphate	GDP	chebi:17552
myo-Inositol	mesh:C572459	NA	NA	NA
L-Galactose	mesh:D005690	Galactose	galactose	chebi:28260
D-Glucuronic acid	mesh:D020723	NA	NA	NA
Galactose	mesh:D005690	Galactose	galactose	chebi:28260
L-Gulonate	mesh:C015252	NA	NA	NA
UDP	mesh:D014530	Uridine Diphosphate	UDP	chebi:17659
Glucuronic acid	mesh:D020723	NA	NA	NA
L-Galactono-1,4-lactone	mesh:C534014	NA	NA	NA
L-Gulono-1,4-lactone	mesh:D007783	Lactones	lactone	chebi:25000
L-Ascorbic acid	mesh:D001205	NA	NA	NA
L-Gal	mesh:C065008	alpha-D-GalpA-(1->4)-alpha-D-GalpA-(1->4)-alpha-D-GalpA	O-galactopyranosyluronic acid-(1-4)-O-galactopyranosyluronic acid-(1-4)-galactopyranosyluronic acid	chebi:82691
