organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9913	Bos taurus	Mammals	fat	FAT	FAT1	508251	ncbigene_synonym	9	5
9913	Bos taurus	Mammals	ATF-4↑	ATF4	ATF4	509107	ncbigene_symbol	9	5
9913	Bos taurus	Mammals	ATF-4	ATF4	ATF4	509107	ncbigene_symbol	9	5
9913	Bos taurus	Mammals	p-Akt	AKT	AKT1	280991	ncbigene_synonym	9	5
9913	Bos taurus	Mammals	TRIB3	TRIB3	TRIB3	538465	ncbigene_symbol	9	5
9913	Bos taurus	Mammals	TRIB3↑	TRIB3	TRIB3	538465	ncbigene_symbol	9	5
9606	Homo sapiens	Primates	fat	FAT	CD36	948	ncbigene_synonym	9	5
9606	Homo sapiens	Primates	fat	FAT	FAT1	2195	ncbigene_synonym	9	5
9606	Homo sapiens	Primates	ATF-4↑	ATF4	ATF4	468	ncbigene_symbol	9	5
9606	Homo sapiens	Primates	ATF-4	ATF4	ATF4	468	ncbigene_symbol	9	5
9606	Homo sapiens	Primates	p-Akt	AKT	AKT1	207	ncbigene_synonym	9	5
9606	Homo sapiens	Primates	p-Akt	AKT	AKT1	207	famplex_relations	9	5
9606	Homo sapiens	Primates	p-Akt	AKT	AKT2	208	famplex_relations	9	5
9606	Homo sapiens	Primates	p-Akt	AKT	AKT3	10000	famplex_relations	9	5
9606	Homo sapiens	Primates	TRIB3	TRIB3	TRIB3	57761	ncbigene_symbol	9	5
9606	Homo sapiens	Primates	TRIB3↑	TRIB3	TRIB3	57761	ncbigene_symbol	9	5
9913	Bos taurus	Mammals	ATF-6	ATF6	ATF6	530610	ncbigene_symbol	9	5
9913	Bos taurus	Mammals	>ATF-4↑	ATF4	ATF4	509107	ncbigene_symbol	9	5
9606	Homo sapiens	Primates	ATF-6	ATF6	ATF6	22926	ncbigene_symbol	9	5
9606	Homo sapiens	Primates	>ATF-4↑	ATF4	ATF4	468	ncbigene_symbol	9	5
9986	Oryctolagus cuniculus	Mammals	ATF-4↑	ATF4	ATF4	100339383	ncbigene_symbol	9	3
9986	Oryctolagus cuniculus	Mammals	ATF-4	ATF4	ATF4	100339383	ncbigene_symbol	9	3
9986	Oryctolagus cuniculus	Mammals	TRIB3	TRIB3	TRIB3	100347046	ncbigene_symbol	9	3
9986	Oryctolagus cuniculus	Mammals	TRIB3↑	TRIB3	TRIB3	100347046	ncbigene_symbol	9	3
9925	Capra hircus	Mammals	ATF-4↑	ATF4	ATF4	102185072	ncbigene_symbol	9	3
9925	Capra hircus	Mammals	ATF-4	ATF4	ATF4	102185072	ncbigene_symbol	9	3
9925	Capra hircus	Mammals	TRIB3	TRIB3	TRIB3	102181514	ncbigene_symbol	9	3
9925	Capra hircus	Mammals	TRIB3↑	TRIB3	TRIB3	102181514	ncbigene_symbol	9	3
9986	Oryctolagus cuniculus	Mammals	ATF-6	ATF6	ATF6	100358536	ncbigene_symbol	9	3
9986	Oryctolagus cuniculus	Mammals	>ATF-4↑	ATF4	ATF4	100339383	ncbigene_symbol	9	3
9925	Capra hircus	Mammals	ATF-6	ATF6	ATF6	102184016	ncbigene_symbol	9	3
9925	Capra hircus	Mammals	>ATF-4↑	ATF4	ATF4	102185072	ncbigene_symbol	9	3
10090	Mus musculus	Rodents	fat	FAT	Cd36	12491	ncbigene_synonym	6	6
10090	Mus musculus	Rodents	fat	FAT	Cpe	12876	ncbigene_synonym	6	6
10090	Mus musculus	Rodents	ATF-4↑	ATF-4	Atf4	11911	ncbigene_synonym	6	6
10090	Mus musculus	Rodents	ATF-4	ATF-4	Atf4	11911	ncbigene_synonym	6	6
10090	Mus musculus	Rodents	p-Akt	AKT	Akt1	11651	ncbigene_synonym	6	6
10090	Mus musculus	Rodents	TRIB3	TRIB3	Trib3	228775	ncbigene_symbol	6	6
10090	Mus musculus	Rodents	TRIB3↑	TRIB3	Trib3	228775	ncbigene_symbol	6	6
10090	Mus musculus	Rodents	ATF-6	ATF6	Atf6	226641	ncbigene_symbol	6	6
10090	Mus musculus	Rodents	>ATF-4↑	ATF4	Atf4	11911	ncbigene_symbol	6	6
10090	Mus musculus	Rodents	>ATF-4↑	ATF4	Atf4	11911	ncbigene_synonym	6	6
