word	mesh	match	name	chebi
Phenylananine	NA	NA	NA	NA
Valine	mesh:C521924	NA	NA	NA
Cinnamate	mesh:D002934	Cinnamates	cinnamates	chebi:36091
Coumarate	mesh:C573280	NA	NA	NA
ketoisovalerate	mesh:C001505	NA	NA	NA
4-Coumaroyl-CoA	mesh:C058644	NA	NA	NA
isobutyryl-CoA	mesh:C050106	NA	NA	NA
Caffeoyl	mesh:C058645	NA	NA	NA
malonyl-CoA	mesh:D008316	Malonyl Coenzyme A	malonyl-CoA	chebi:15531
Feruloyl-CoA	mesh:C119167	feruloyl-CoA	feruloyl-CoA	chebi:14261
Vanillin	mesh:C100058	NA	NA	NA
8-methyl-6-nonenoic Acid	mesh:C509882	NA	NA	NA
Vanillylamine	mesh:C003754	NA	NA	NA
8-methyl-6-nonenoyl-CoA	mesh:C065987	NA	NA	NA
Capsaicin	mesh:D002211	Capsaicin	capsaicin	chebi:3374
