organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
10090	Mus musculus	Rodents	SELENOP	SELENOP	Selenop	20363	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	ApoER2	APOER2	Lrp8	16975	ncbigene_synonym	16	7
10090	Mus musculus	Rodents	SELENBP1	SELENBP1	Selenbp1	20341	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	SELENOF,	SELENOF	Selenof	93684	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	GPX4,	GPX4	Gpx4	625249	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	GPX4,	GPX4	Gpx4	625249	ncbigene_synonym	16	7
10090	Mus musculus	Rodents	GPX4,	GPX4	Gpx4-ps2	664781	ncbigene_synonym	16	7
10090	Mus musculus	Rodents	GPX4,SELENOF,	GPX4	Gpx4	625249	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	GPX4,SELENOF,	GPX4	Gpx4	625249	ncbigene_synonym	16	7
10090	Mus musculus	Rodents	GPX4,SELENOF,	GPX4	Gpx4-ps2	664781	ncbigene_synonym	16	7
10090	Mus musculus	Rodents	GPX4,SELENOF,	SELENOF	Selenof	93684	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	SELENOW,	SELENOW	Selenow	20364	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	SELENOW,etc.	SELENOW	Selenow	20364	ncbigene_symbol	16	7
10090	Mus musculus	Rodents	CSF	CSF	Csf2	12981	ncbigene_synonym	16	7
9606	Homo sapiens	Primates	SELENOP	SELENOP	SELENOP	6414	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	ApoER2	APOER2	LRP8	7804	ncbigene_synonym	16	7
9606	Homo sapiens	Primates	SELENBP1	SELENBP1	SELENBP1	8991	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	SELENOF,	SELENOF	SELENOF	9403	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	GPX4,	GPX4	GPX4	2879	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	GPX4,	GPX4	GPX4	2879	ncbigene_synonym	16	7
9606	Homo sapiens	Primates	GPX4,SELENOF,	GPX4	GPX4	2879	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	GPX4,SELENOF,	GPX4	GPX4	2879	ncbigene_synonym	16	7
9606	Homo sapiens	Primates	GPX4,SELENOF,	SELENOF	SELENOF	9403	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	SELENOW,	SELENOW	SELENOW	6415	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	SELENOW,etc.	SELENOW	SELENOW	6415	ncbigene_symbol	16	7
9606	Homo sapiens	Primates	CSF	CSF	CSF2	1437	ncbigene_synonym	16	7
9606	Homo sapiens	Primates	CSF	CSF	LAMC2	3918	ncbigene_synonym	16	7
10116	Rattus norvegicus	Rodents	SELENOP	SELENOP	Selenop	29360	ncbigene_symbol	16	5
10116	Rattus norvegicus	Rodents	SELENBP1	SELENBP1	Selenbp1	103689947	ncbigene_symbol	16	5
10116	Rattus norvegicus	Rodents	SELENOF,	SELENOF	Selenof	113922	ncbigene_symbol	16	5
10116	Rattus norvegicus	Rodents	GPX4,	GPX4	Gpx4	29328	ncbigene_symbol	16	5
10116	Rattus norvegicus	Rodents	GPX4,	GPX4	Gpx4	29328	ncbigene_synonym	16	5
10116	Rattus norvegicus	Rodents	GPX4,SELENOF,	GPX4	Gpx4	29328	ncbigene_symbol	16	5
10116	Rattus norvegicus	Rodents	GPX4,SELENOF,	GPX4	Gpx4	29328	ncbigene_synonym	16	5
10116	Rattus norvegicus	Rodents	GPX4,SELENOF,	SELENOF	Selenof	113922	ncbigene_symbol	16	5
10116	Rattus norvegicus	Rodents	SELENOW,	SELENOW	Selenow	25545	ncbigene_symbol	16	5
10116	Rattus norvegicus	Rodents	SELENOW,etc.	SELENOW	Selenow	25545	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	SELENOP	SELENOP	SELENOP	100358618	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	SELENBP1	SELENBP1	SELENBP1	100354955	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	SELENOF,	SELENOF	SELENOF	100338500	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	GPX4,	GPX4	GPX4	127489206	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	GPX4,SELENOF,	GPX4	GPX4	127489206	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	GPX4,SELENOF,	SELENOF	SELENOF	100338500	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	SELENOW,	SELENOW	SELENOW	127488368	ncbigene_symbol	16	5
9986	Oryctolagus cuniculus	Mammals	SELENOW,etc.	SELENOW	SELENOW	127488368	ncbigene_symbol	16	5
