organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	cord	CORD	CORD1	1319	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	TLR4	TLR4	TLR4	7099	ncbigene_symbol	4	7
9606	Homo sapiens	Primates	TLR4	TLR4	TLR4	7099	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	CRK	1398	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	MAPK14	1432	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	MAPK1	5594	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	AIMP2	7965	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	GRAP2	9402	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	AHSA1	10598	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	POLDIP2	26073	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-p38	P38	MAPK11	5600	famplex_relations	4	7
9606	Homo sapiens	Primates	p-p38	P38	MAPK12	6300	famplex_relations	4	7
9606	Homo sapiens	Primates	p-p38	P38	MAPK13	5603	famplex_relations	4	7
9606	Homo sapiens	Primates	p-p38	P38	MAPK14	1432	famplex_relations	4	7
9606	Homo sapiens	Primates	IL-18	IL-18	IL18	3606	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	IL-18BP	IL18BP	IL18BP	10068	ncbigene_symbol	4	7
9606	Homo sapiens	Primates	BDNF,	BDNF	BDNF	627	ncbigene_symbol	4	7
9606	Homo sapiens	Primates	BDNF,	BDNF	BDNF-AS	497258	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	BDNF,Pro-inflammatory	BDNF	BDNF	627	ncbigene_symbol	4	7
9606	Homo sapiens	Primates	BDNF,Pro-inflammatory	BDNF	BDNF-AS	497258	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-NFKB	NFKB	NFKB1	4790	ncbigene_synonym	4	7
9606	Homo sapiens	Primates	p-NFKB	NFKB	RELA	5970	famplex_relations	4	7
9606	Homo sapiens	Primates	p-NFKB	NFKB	RELB	5971	famplex_relations	4	7
9606	Homo sapiens	Primates	p-NFKB	NFKB	REL	5966	famplex_relations	4	7
9606	Homo sapiens	Primates	p-NFKB	NFKB	NFKB1	4790	famplex_relations	4	7
9606	Homo sapiens	Primates	p-NFKB	NFKB	NFKB2	4791	famplex_relations	4	7
10116	Rattus norvegicus	Rodents	TLR4	TLR4	Tlr4	29260	ncbigene_symbol	4	6
10116	Rattus norvegicus	Rodents	p-p38	P38	Mapk14	81649	ncbigene_synonym	4	6
10116	Rattus norvegicus	Rodents	IL-18	IL-18	Il18	29197	ncbigene_synonym	4	6
10116	Rattus norvegicus	Rodents	IL-18BP	IL18BP	Il18bp	84388	ncbigene_symbol	4	6
10116	Rattus norvegicus	Rodents	BDNF,	BDNF	Bdnf	24225	ncbigene_symbol	4	6
10116	Rattus norvegicus	Rodents	BDNF,Pro-inflammatory	BDNF	Bdnf	24225	ncbigene_symbol	4	6
10116	Rattus norvegicus	Rodents	p-NFKB	NFKB	Nfkb1	81736	ncbigene_synonym	4	6
10116	Rattus norvegicus	Rodents	p-NFKB	NFKB	Rela	309165	ncbigene_synonym	4	6
10090	Mus musculus	Rodents	TLR4	TLR4	Tlr4	21898	ncbigene_symbol	3	6
10090	Mus musculus	Rodents	p-p38	P38	Crk	12928	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	p-p38	P38	Grap2	17444	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	p-p38	P38	Syp	20977	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	p-p38	P38	Mapk14	26416	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	p-p38	P38	Ahsa1	217737	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	IL-18	IL-18	Il18	16173	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	IL-18BP	IL-18BP	Il18bp	16068	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	BDNF,	BDNF	Bdnf	12064	ncbigene_symbol	3	6
10090	Mus musculus	Rodents	BDNF,Pro-inflammatory	BDNF	Bdnf	12064	ncbigene_symbol	3	6
10090	Mus musculus	Rodents	p-NFKB	NFKB	Nfkb1	18033	ncbigene_synonym	3	6
