organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	RTK	RTK	Tie	38559	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	RTK	RTK	Ras85D	41140	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	RTK	RTK	InR	42549	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	F-actin	F-ACTIN	Act5C	31521	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	Rho	RHO	rho	38168	ncbigene_symbol	11	13
7227	Drosophila melanogaster	Invertebrates	Rho	RHO	Bx	32846	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	Rho	RHO	Rho1	36775	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	Rho	RHO	rho	38168	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	Rho	RHO	Lcp65Ab1	48382	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	RhoGTPases	RHOGTPASE	RhoBTB	40249	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	STT	STT	stt	252738	ncbigene_symbol	11	13
7227	Drosophila melanogaster	Invertebrates	STT	STT	Stt3A	33082	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	STT	STT	Stt3B	43005	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	Akt	AKT	Akt	41957	ncbigene_symbol	11	13
7227	Drosophila melanogaster	Invertebrates	Akt	AKT	Akt	41957	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K/Aktpathway	PI3K	Pi3K21B	33203	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K/Aktpathway	PI3K	Pi3K59F	37733	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K/Aktpathway	PI3K	Pi3K68D	39329	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K/Aktpathway	PI3K	Pi3K92E	42446	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K21B	33203	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K59F	37733	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K68D	39329	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K92E	42446	ncbigene_synonym	11	13
7227	Drosophila melanogaster	Invertebrates	NF-KB	NF-KB	Dif	35045	ncbigene_synonym	11	13
